I1,P(IPO),P(L),C6_Prime,P(1Day),Y1,Y2
BRNC,2.833213344056216,2.6390573296152584,2.371262202993375,2.6433558159472406,0,1
BSFT,2.1972245773362196,2.1972245773362196,0.0,2.024693867514682,1,0
BTRX,2.70805020110221,2.6390573296152584,0.0,2.4440923888454056,0,0
BUN,2.2512917986064953,2.0794415416798357,1.7710976153043514,2.2035754532216254,0,1
BV,2.4849066497880004,2.0794415416798357,3.218297948685433,2.54633590014211,0,1
BWLD,2.833213344056216,2.6390573296152584,2.371262202993375,2.255541919301533,0,0
BWTR,2.4849066497880004,2.302585092994046,2.087064022423232,2.553513035744205,0,1
BWY,2.70805020110221,2.772588722239781,0.0,2.4440924101318706,1,0
CAB,2.995732273553991,2.70805020110221,2.924017738212866,2.9624960684073707,0,1
CABG,1.7047480922384253,1.6094379124341003,0.0,1.826161157855547,0,1
CADX,2.1972245773362196,2.3978952727983707,0.0,2.1104542659414105,1,1
CALD,2.6390573296152584,2.4849066497880004,1.9740230337485711,2.5898023054498873,0,1
CALL,2.302585092994046,2.1972245773362196,0.0,2.1216209271868487,0,0
CALX,2.5649493574615367,2.3978952727983707,2.027400665191134,2.471680432502895,0,1
CAP,2.70805020110221,2.6390573296152584,0.0,2.46621207433047,0,0
CARB,2.302585092994046,2.70805020110221,0.0,2.311473880678203,1,1
CATM,2.302585092994046,2.6390573296152584,0.0,2.1179117921274466,1,0
CBEY,2.4849066497880004,2.5649493574615367,0.0,2.2894284851066633,1,0
CBOU,2.6390573296152584,2.5649493574615367,0.0,2.3513346877207577,0,0
CCO,2.8903717578961645,2.995732273553991,0.0,2.6471667470079474,1,1
CDL,2.9444389791664403,2.833213344056216,1.7710976153043514,2.74351087055168,0,1
CDM,1.6582280766035324,1.791759469228055,0.0,1.743513401265128,1,1
CE,2.772588722239781,2.9444389791664403,0.0,2.519842099789747,1,0
CEMP,1.791759469228055,2.3978952727983707,0.0,1.8231575769334178,1,1
CENF,2.70805020110221,2.5649493574615367,1.9258567855541788,2.5888079258248173,0,1
CERE,2.5649493574615367,2.772588722239781,0.0,4.910404125862859,1,1
CF,2.772588722239781,2.70805020110221,0.0,1.4797272823458367,0,0
CFX,2.8903717578961645,2.70805020110221,2.320794416806389,2.7589241763811208,0,1
CGTK,2.772588722239781,2.6390573296152584,1.8820720577620569,4.407150906443251,0,1
CHEF,2.70805020110221,2.6390573296152584,0.0,2.596247050925552,0,1
CLAY,2.833213344056216,2.70805020110221,1.8420157493201932,2.7589241763811208,0,1
CLD,2.70805020110221,2.772588722239781,0.0,2.4574119648373136,1,0
CLU,2.5649493574615367,2.70805020110221,0.0,2.2830511895571526,1,0
CLUB,2.5649493574615367,2.772588722239781,0.0,2.3663117455816844,1,1
CLWR,3.2188758248682006,3.1354942159291497,1.6091489743427165,2.8477347342939776,0,0
CML,2.6026896854443837,2.302585092994046,2.8325816747135235,2.8844991406148166,0,1
CMP,2.5649493574615367,2.5649493574615367,0.0,2.395709928531392,1,1
CNSL,2.5649493574615367,2.6390573296152584,0.0,2.3980307898965556,1,1
CNVO,2.1972245773362196,2.302585092994046,0.0,2.1715340770967377,1,1
CNVX,2.4849066497880004,2.4849066497880004,0.0,3.301927365522891,1,1
COGT,2.4849066497880004,2.302585092994046,2.087064022423232,2.6197703895278677,0,1
COLY,2.772588722239781,2.6390573296152584,1.8820720577620569,2.6627720532025214,0,1
COMV,2.8903717578961645,2.70805020110221,2.320794416806389,2.8151390641828553,0,1
CONN,2.6390573296152584,2.4849066497880004,1.9740230337485711,2.358418422433624,0,0
CONR,2.5649493574615367,2.3978952727983707,2.027400665191134,2.3669069080546006,0,1
CORT,2.4849066497880004,2.70805020110221,0.0,2.3039628934330723,1,1
CPII,2.8903717578961645,2.772588722239781,1.805165505978112,2.620741394208897,0,0
CPIX,2.833213344056216,2.6390573296152584,2.371262202993375,2.562681918567819,0,0
CPX,3.1780538303479458,3.091042453358316,1.6321399230336169,2.9962917002274114,0,1
CRDC,2.302585092994046,2.302585092994046,0.0,2.179282091132821,1,1
CREL,2.772588722239781,2.8903717578961645,0.0,2.5066489674822927,1,0
CRI,2.9444389791664403,2.833213344056216,1.7710976153043514,2.309913092391068,0,0
CRMH,2.5649493574615367,2.5649493574615367,0.0,5.065796629424161,1,1
CROX,3.044522437723423,2.9444389791664403,1.9740230337485711,2.425820723003508,0,0
CRU,2.9444389791664403,2.9444389791664403,0.0,2.6471667832995576,1,0
CRYO,2.3978952727983707,2.3978952727983707,0.0,2.2151842149170884,1,0
CSCD,2.6390573296152584,2.3978952727983707,2.5543647746451774,2.395709928531392,0,0
CSIQ,2.70805020110221,2.5649493574615367,1.9258567855541788,2.500266644329491,0,1
CSTE,2.3978952727983707,2.6390573296152584,0.0,2.2313687600374554,1,1
CTCT,2.772588722239781,2.4849066497880004,2.847033872200803,3.023518820967025,0,1
CTP,2.5649493574615367,2.4849066497880004,0.0,2.3513346877207577,0,0
CTRN,2.6390573296152584,2.4849066497880004,1.9740230337485711,2.5039936068721396,0,1
CVGI,2.5649493574615367,2.70805020110221,0.0,2.3573483804955844,1,1
CVI,2.9444389791664403,2.8903717578961645,0.0,2.72568088924821,0,1
CXO,2.4423470353692043,2.6390573296152584,0.0,2.3452900757590807,1,1
CYNO,2.70805020110221,2.4849066497880004,2.4871131731971623,2.6651206459385746,0,1
CYTK,2.5649493574615367,2.3978952727983707,2.027400665191134,4.588376909798652,0,1
CZR,2.1972245773362196,2.0794415416798357,0.0,2.487403321051384,0,1
DBTK,2.3978952727983707,2.1972245773362196,2.1544346900318834,2.33065451274396,0,1
DCIN,1.8082887711792655,1.791759469228055,0.0,1.834122716299445,1,1
DCP,2.70805020110221,2.70805020110221,0.0,2.462919374360054,1,0
DDMG,2.1400661634962708,2.302585092994046,0.0,1.9264985239507435,1,0
DDUP,2.70805020110221,2.4423470353692043,2.7144176165949063,2.9220671218291048,0,1
DEEP,2.70805020110221,2.6390573296152584,0.0,2.598223638709154,0,1
DEIX,2.772588722239781,2.70805020110221,0.0,2.4101422641752306,0,0
DEX,2.9444389791664403,3.1354942159291497,0.0,2.691606306043642,1,1
DG,3.044522437723423,3.044522437723423,0.0,2.8326949544326263,1,1
DHX,2.5649493574615367,2.3978952727983707,2.027400665191134,2.3752077155225386,0,1
DIVX,2.772588722239781,2.4849066497880004,2.847033872200803,2.6542828572755153,0,1
DK,2.772588722239781,2.6390573296152584,1.8820720577620569,2.5328985095504435,0,1
DLB,2.8903717578961645,2.772588722239781,1.805165505978112,2.8964681235037206,0,1
DM,2.6741486494265287,2.6026896854443837,0.0,2.6070812878078238,0,1
DMAN,2.3978952727983707,2.302585092994046,0.0,2.105954389758492,0,0
DMD,2.833213344056216,2.6390573296152584,2.371262202993375,3.557873419575074,0,1
DMED,1.9459101490553132,2.302585092994046,0.0,1.8420157493201932,1,0
DMND,2.833213344056216,2.6390573296152584,2.371262202993375,2.761112029884772,0,1
DNKN,2.9444389791664403,2.772588722239781,2.274366019525953,3.0311567934859616,0,1
DOLE,2.5257286443082556,2.5649493574615367,0.0,2.3070984059526425,1,0
DPZ,2.6390573296152584,2.70805020110221,0.0,2.3811015779522995,1,0
DRC,3.044522437723423,2.9444389791664403,1.7099759466766968,2.8355998464068564,0,1
DRTX,2.1972245773362196,2.3978952727983707,0.0,2.0831608716829457,1,1
DSUP,2.4849066497880004,2.5649493574615367,0.0,2.2571787177370006,1,0
DSW,2.9444389791664403,2.70805020110221,2.656646422956528,1.2141835385541768,0,0
DTSI,2.833213344056216,2.6390573296152584,2.371262202993375,2.9208954561300886,0,1
DVAX,2.0149030205422647,2.4849066497880004,0.0,4.54683557473796,1,1
DVOX,2.70805020110221,2.70805020110221,0.0,2.46621207433047,1,0
DVR,2.5649493574615367,2.6390573296152584,0.0,2.3114738568790876,1,0
DWA,3.332204510175204,3.1354942159291497,2.5543647746451774,3.383949726053504,0,1
DWRE,2.772588722239781,2.5257286443082556,2.645668419946999,2.867979093958254,0,1
DWRI,2.4849066497880004,2.302585092994046,2.087064022423232,2.542216445534981,0,1
DXCM,2.4849066497880004,2.4849066497880004,0.0,2.2727728328010204,1,0
DYP,2.1400661634962708,2.1400661634962708,0.0,1.9806466615475389,1,0
EBS,2.5257286443082556,2.6390573296152584,0.0,2.2701886683130823,1,0
ECHO,2.6390573296152584,2.5649493574615367,0.0,2.4135804415835485,0,1
ECYT,1.791759469228055,2.5649493574615367,0.0,1.9772420210310884,1,1
EDG,2.3978952727983707,2.6390573296152584,0.0,2.1179117921274466,1,0
EDMC,2.8903717578961645,2.8903717578961645,0.0,2.7922404402434,1,1
EEEE,2.3978952727983707,2.6390573296152584,0.0,2.2887923414505438,1,1
EGLT,2.740840023925201,2.6390573296152584,1.4938015821857216,2.493315476119323,0,0
ELOQ,2.4423470353692043,2.2512917986064953,2.1196796658966526,2.344683944918872,0,1
EM,2.740840023925201,2.6026896854443837,1.9034610713106546,2.5468498843295904,0,1
EMAG,2.5649493574615367,2.5649493574615367,0.0,2.4634687883351556,1,1
ENPH,1.791759469228055,1.791759469228055,0.0,1.943414131254741,1,1
ENSG,2.772588722239781,2.995732273553991,0.0,1.6807634624141525,1,0
ENTA,2.6390573296152584,2.6390573296152584,0.0,2.580324874718776,1,1
ENTR,1.791759469228055,1.791759469228055,0.0,1.9486951687459213,1,1
ENV,2.1972245773362196,2.1972245773362196,0.0,2.1708269510798512,1,1
EPAM,2.4849066497880004,2.772588722239781,0.0,2.4101422641752306,1,1
EPOC,2.772588722239781,2.5649493574615367,2.4264275032025866,2.800340055827996,0,1
ERII,2.1400661634962708,1.9459101490553132,1.8420157493201932,2.1421563790772775,0,1
ETRM,2.0794415416798357,2.0794415416798357,0.0,3.634241474487796,1,1
EVVV,2.6390573296152584,2.772588722239781,0.0,2.418719333461711,1,1
EXA,2.302585092994046,2.3978952727983707,0.0,2.139974975013418,1,0
EXAM,2.772588722239781,2.772588722239781,0.0,2.561158291204971,1,1
EXLS,2.6026896854443837,2.302585092994046,2.8325816747135235,2.660890281480269,0,1
EXPR,2.833213344056216,2.8903717578961645,0.0,2.5586149734560246,1,0
EYET,3.044522437723423,2.8903717578961645,2.19158741684435,3.187975757593767,0,1
FACE,2.833213344056216,2.70805020110221,1.8420157493201932,2.7016907249318716,0,1
FANG,2.8622008809294686,2.833213344056216,0.0,2.596247050925552,1,0
FB,3.6375861597263857,3.5263605246161616,1.7710976153043514,3.3687975728039388,0,1
FCL,3.091042453358316,2.833213344056216,2.811442217672497,2.3361643641776295,0,0
FFN,2.302585092994046,2.302585092994046,0.0,1.987421050883447,1,0
FIO,2.9444389791664403,2.772588722239781,2.274366019525953,2.8231080866430855,0,1
FIRE,2.70805020110221,2.4849066497880004,2.4871131731971623,2.492779151612382,0,1
FIVE,2.833213344056216,2.70805020110221,1.8420157493201932,2.981365978871846,0,1
FLT,3.1354942159291497,3.1354942159291497,0.0,3.0092308274032264,1,1
FLTX,2.833213344056216,2.70805020110221,1.8420157493201932,2.8147183822317845,0,1
FN,2.302585092994046,2.4849066497880004,0.0,2.207002481221052,1,1
FNET,2.1972245773362196,2.3978952727983707,0.0,2.0839287333605436,1,1
FOLD,2.70805020110221,2.6390573296152584,0.0,2.4345691440381345,0,0
FOXH,2.6390573296152584,2.4849066497880004,1.9740230337485711,2.7346249771463422,0,1
FRAN,2.833213344056216,2.6390573296152584,2.371262202993375,3.0238834161812496,0,1
FRP,2.917770732084279,2.8903717578961645,0.0,2.623165763208581,1,0
FSL,2.8903717578961645,3.091042453358316,0.0,2.636660143873419,1,1
FSLR,2.995732273553991,2.833213344056216,2.2314431669405645,2.9138457897551087,0,1
FSTC,2.4849066497880004,2.4849066497880004,0.0,2.2894284851066633,1,0
FTD,2.5649493574615367,2.4849066497880004,0.0,2.386966383854674,0,1
FTNT,2.5257286443082556,2.1972245773362196,2.924017738212866,2.025506689819567,0,0
FUQI,2.1972245773362196,1.9459101490553132,2.320794416806389,2.18767211390234,0,1
G,2.6390573296152584,2.772588722239781,0.0,2.5586149734560246,1,1
GASS,2.6741486494265287,2.6390573296152584,0.0,2.398610317630535,1,0
GEVO,2.70805020110221,2.5649493574615367,1.9258567855541788,6.27091870918728,0,1
GGL,2.8903717578961645,2.772588722239781,1.805165505978112,2.7166777488768856,0,1
GGS,2.4849066497880004,2.70805020110221,0.0,2.2894284851066633,1,0
GGXY,2.6390573296152584,2.3978952727983707,2.5543647746451774,2.6500178287800917,0,1
GHDX,2.4849066497880004,2.4849066497880004,0.0,2.273417971888172,1,0
GKIS,2.3978952727983707,2.6390573296152584,0.0,2.2506170895735575,1,1
GLOG,2.6390573296152584,2.772588722239781,0.0,2.3152110792121467,1,0
GLUU,2.4423470353692043,2.302585092994046,1.6565038123598101,2.3077244985877368,0,1
GMAN,2.3978952727983707,2.5649493574615367,0.0,2.2260000374680557,1,1
GMED,2.4849066497880004,2.4849066497880004,0.0,2.3811015779522995,1,1
GMET,2.302585092994046,2.5649493574615367,0.0,1.6570040676761888,1,0
GMTN,2.772588722239781,2.6390573296152584,1.8820720577620569,2.8028881763088442,0,1
GNMK,1.791759469228055,1.791759469228055,0.0,1.7544106532557222,1,0
GNOM,2.1972245773362196,2.4849066497880004,0.0,2.002496859297242,1,0
GNRC,2.5649493574615367,2.70805020110221,0.0,2.341648347482304,1,0
GOLF,2.4423470353692043,2.6390573296152584,0.0,2.23069910447562,1,0
GOOG,4.442651256490317,4.68213122712422,0.0,3.6900482510710866,1,0
GRPN,2.995732273553991,2.772588722239781,2.6034991753306884,2.966668092523397,0,1
GSAT,2.833213344056216,2.772588722239781,0.0,0.0,0,0
GSE,2.1972245773362196,2.0794415416798357,0.0,2.2571787177370006,1,1
GTEC,2.5649493574615367,2.6390573296152584,0.0,2.356148073620707,1,1
GTOP,2.1972245773362196,2.1972245773362196,0.0,2.1544346900318834,1,1
GTXI,2.6741486494265287,2.5649493574615367,1.5285535436643993,2.3452900757590807,0,0
GUID,2.4423470353692043,2.5257286443082556,0.0,2.476037740803667,1,1
GWAY,2.302585092994046,2.3978952727983707,0.0,2.3513346877207577,1,1
GXDX,2.833213344056216,2.6390573296152584,2.371262202993375,2.937599981153537,0,1
HCA,3.4011973816621555,3.295836866004329,1.739464085489495,3.142056088348014,0,1
HCCI,2.4423470353692043,2.3513752571634776,0.0,2.420996310183254,0,1
HEES,2.8903717578961645,2.70805020110221,2.320794416806389,2.8479825830071084,0,1
HEM,1.7047480922384253,1.791759469228055,0.0,1.767311182445167,1,1
HERO,2.995732273553991,2.8903717578961645,1.739464085489495,0.0,0,0
HGG,2.5649493574615367,2.70805020110221,0.0,2.4412991486350046,1,1
HIRE,2.70805020110221,2.70805020110221,0.0,2.4513250942235483,1,0
HITT,2.833213344056216,2.6390573296152584,2.371262202993375,2.6893038539359955,0,1
HLYS,3.044522437723423,2.772588722239781,2.8655216231663623,2.8683842840342444,0,1
HNSN,2.4849066497880004,2.3978952727983707,0.0,4.959675250297761,0,1
HOO,2.4849066497880004,2.4849066497880004,0.0,2.2894284851066633,1,0
HPTX,2.302585092994046,2.3978952727983707,0.0,2.1623054699631803,1,1
HPY,2.8903717578961645,2.6390573296152584,2.7144176165949063,2.9047879775653973,0,1
HRZ,2.302585092994046,2.70805020110221,0.0,2.207002481221052,1,1
HS,2.970414465569701,2.772588722239781,2.449986525148223,2.801189970393999,0,1
HTZ,2.70805020110221,2.772588722239781,0.0,2.5050564469508827,1,1
HUN,3.1354942159291497,3.044522437723423,1.6565038123598101,2.904392866781852,0,1
HURN,2.70805020110221,2.6390573296152584,0.0,2.663712005227802,0,1
IBI,2.70805020110221,2.70805020110221,0.0,2.5863186289253157,1,1
ICFI,2.4849066497880004,2.6390573296152584,0.0,2.3052181460292234,1,1
ICPT,2.70805020110221,2.5649493574615367,1.9258567855541788,2.6869973645073504,0,1
ICXT,2.772588722239781,2.833213344056216,0.0,2.342256108190057,1,0
IFO,1.791759469228055,1.7047480922384253,0.0,1.430129252991615,0,0
IKAN,2.4849066497880004,2.302585092994046,2.087064022423232,5.065796622701225,0,1
IL,2.5649493574615367,2.6390573296152584,0.0,2.3513346877207577,1,0
ILSE,2.5649493574615367,2.3978952727983707,2.027400665191134,2.5328985095504435,0,1
IMI,2.302585092994046,2.4849066497880004,0.0,2.1179117921274466,1,0
IMMC,2.0794415416798357,2.1972245773362196,0.0,2.1179117921274466,1,1
INCX,2.0794415416798357,2.0794415416798357,0.0,1.9703973362613045,1,0
INET,2.0794415416798357,2.302585092994046,0.0,2.0,1,0
INHX,1.9459101490553132,2.302585092994046,0.0,1.9327650408414738,1,1
INPC,2.9444389791664403,2.70805020110221,2.656646422956528,2.8844991406148166,0,1
INVN,2.0149030205422647,1.9459101490553132,0.0,2.0723510684510504,1,1
INWK,2.1972245773362196,2.0794415416798357,1.805165505978112,2.1862782160023007,0,1
IOMI,1.9459101490553132,1.9459101490553132,0.0,1.894536492085258,1,0
IPAS,2.6390573296152584,2.1972245773362196,3.4199518933533937,2.6528626985755803,0,1
IPCM,2.772588722239781,2.70805020110221,0.0,2.7359614942982122,0,1
IPDN,2.0794415416798357,2.302585092994046,0.0,1.9721129704290283,1,0
IPGP,2.803360380906535,2.6026896854443837,2.39821067139974,2.947225213551334,0,1
IPHI,2.4849066497880004,2.302585092994046,2.087064022423232,2.4825450909284825,0,1
IPHS,2.4849066497880004,2.4849066497880004,0.0,2.293871504197957,1,1
IPI,3.4657359027997265,3.295836866004329,2.4264275032025866,3.6938295381730244,0,1
IPMT,2.772588722239781,2.6390573296152584,1.8820720577620569,2.759799767459616,0,1
IRWD,2.4203681286504293,2.6390573296152584,0.0,2.266950151251832,1,1
ISLN,2.5649493574615367,2.3978952727983707,2.353953102676801,2.8479825830071084,0,1
ITC,3.1354942159291497,2.9444389791664403,2.46621207433047,2.0645602458287797,0,0
ITLN,1.791759469228055,2.1972245773362196,0.0,1.88988157484231,1,1
IVII,2.6390573296152584,2.3978952727983707,2.5543647746451774,2.6538096387136454,0,1
IWA,2.9444389791664403,2.8903717578961645,0.0,2.7501377005234624,0,1
JOR,2.302585092994046,2.3978952727983707,0.0,2.080083823051904,1,0
KAR,2.4849066497880004,2.70805020110221,0.0,2.2913347375476723,1,1
KBAY,2.5649493574615367,2.5649493574615367,0.0,2.4771246488990672,1,1
KCI,3.4011973816621555,3.295836866004329,1.9258567855541788,3.431313986442837,0,1
KEYW,2.302585092994046,2.302585092994046,0.0,2.2493002014279386,1,1
KIOR,2.70805020110221,2.9444389791664403,0.0,2.46621207433047,1,0
KIPS,2.0794415416798357,2.0794415416798357,4.641588833612778,1.9941495551966277,0,0
KNOL,2.1972245773362196,2.4849066497880004,0.0,2.108956464171666,1,1
KNTA,1.9459101490553132,2.0794415416798357,0.0,2.1757671273473704,1,1
KNXA,2.4849066497880004,2.6390573296152584,0.0,2.292603852846664,1,1
KONA,2.3978952727983707,2.302585092994046,1.682390865739974,2.333106542243558,0,1
KORS,2.995732273553991,2.833213344056216,2.2314431669405645,2.8924895141588425,0,1
KRA,2.6026896854443837,2.772588722239781,0.0,2.381689372610484,1,1
LDIS,2.6390573296152584,2.4849066497880004,1.9740230337485711,2.3573483804955844,0,0
LGBT,2.1972245773362196,2.1972245773362196,0.0,4.702668915460446,1,1
LHCG,2.6390573296152584,2.4849066497880004,1.9740230337485711,2.5763134848628115,0,1
LIMC,2.3978952727983707,2.2512917986064953,1.682390865739974,2.369284513482714,0,1
LIMS,2.6026896854443837,2.6026896854443837,0.0,2.3828640363304774,1,1
LINC,2.995732273553991,2.9444389791664403,0.0,2.722086781520537,0,1
LLNW,2.70805020110221,2.4849066497880004,2.4871131731971623,2.809660521594822,0,1
LMAT,1.9459101490553132,2.0794415416798357,0.0,1.8370905311756678,1,0
LNKD,3.8066624897703196,3.7376696182833684,1.5107780534895245,4.550863258498068,0,1
LOCK,2.1972245773362196,2.2512917986064953,0.0,2.0295608954785025,1,0
LOGM,2.772588722239781,2.6390573296152584,1.8820720577620569,2.715322141728162,0,1
LPI,2.833213344056216,2.8903717578961645,0.0,2.6255856776417086,1,1
LPR,2.5649493574615367,2.8903717578961645,0.0,2.323267294986985,1,0
LQDT,2.302585092994046,2.1972245773362196,0.0,2.3077244985877368,0,1
LTM,2.917770732084279,2.833213344056216,1.4057211088362485,2.7589241763811208,0,1
LULU,2.8903717578961645,2.70805020110221,2.320794416806389,2.465663905369464,0,0
LUNA,1.791759469228055,1.791759469228055,0.0,1.8171205928321394,1,0
