I1,C3,T3,T5,S2_Prime,industry_4,market_cap,C5,C6,C5_Prime,C6_Prime,industry_1,industry_2,Y1,Y2
ANGI,0.3387028133537808,0.5705463292392978,0.6584906276911282,0.42631290462476423,0,0.8446522215264994,0.4999080967720939,0.5380970070824302,0.5295554828946734,0.43679023236814957,0,1,0,1
ANGO,0.3906623374000613,0.2758734825595863,0.467438550261861,0.4580128492012632,0,0.786475785857379,0.7789263640737225,0.8127627058126352,0.5124220969456086,0.0,1,0,1,1
AONE,0.2867499443760212,0.5264598765883566,0.6485105610155248,0.674795582391355,0,0.8902307303460038,0.4111403941628424,0.3545309287765308,0.42794303926634747,0.815758959214771,1,0,0,1
AOSL,0.3594445108592581,0.4866732632206756,0.6214264395171176,0.6100841202896732,0,0.8294383041982338,0.6546888966178148,0.6325621978563039,0.4655153147473551,0.0,1,0,0,0
APEI,0.3916554053490542,0.4137155040241365,0.562526888562151,0.4726395724393311,0,0.8500281657854158,0.7007215174528945,0.6471363324079693,0.4352754289204354,0.43281919227407034,0,1,0,1
APKT,0.3703360122229068,0.5578509111931207,0.6803354706518856,0.63521257311476,0,0.852687933928536,0.49673513096421473,0.49416703172093435,0.487555197738045,0.709491705985192,1,0,0,1
ARAY,0.33575765077856884,0.499038746091621,0.5890888993720007,0.4638947500669963,0,0.8827556256299566,0.5099996965887428,0.4409921855955199,0.4167835670869026,0.30571070873288,1,0,0,1
ARBX,0.41522299668575696,0.30816997038483773,0.43598212461359975,0.526034928596552,0,0.899506131487373,0.6388720239073251,0.5885937798489955,0.43820143837869374,0.5503212081491046,0,1,0,1
ARCL,0.3840584440559265,0.5972661775336059,0.7067760261277001,0.338823438223419,0,0.8381455348553983,0.6323537020171095,0.5963345434294913,0.4522204738758968,0.3149802624737183,0,1,0,1
ARCO,0.40239386846106406,0.6051523194027353,0.703830554486647,0.5538826077392369,1,0.9231905685659716,0.299766691476675,0.21869126252663484,0.3937745231303674,0.5984084805885755,0,0,0,1
AREX,0.41150330772196586,0.3146800033490913,0.45365768554625774,0.5682808944780049,0,0.8317313378361175,0.6755118190527654,0.5612262728187387,0.37542020301209145,0.0,0,0,1,1
ARII,0.3883174847899091,0.6504277070027205,0.7056016683060156,0.7773698288713198,0,0.8548755109787569,0.672792075173346,0.5437894254704538,0.36043953072968316,0.6173579189986083,1,0,0,1
ARP,0.36157146062668083,0.49211301216984316,0.6308870126507409,0.6780148612842343,0,0.8528680632344048,0.5419435999911837,0.4697245322914858,0.4141959924309707,0.0,0,1,1,1
ARST,0.3616914218618223,0.5876745181739875,0.6864025385482886,0.5865470104905797,0,0.8162325072783758,0.5965369116292845,0.5801855762181232,0.4719221147002809,0.0,0,1,1,0
ARTE,0.3252362900584471,0.3328946517438127,0.5466230728664669,0.5998465378317628,0,0.7986367010124242,0.7163928674247568,0.6505213073439364,0.42372040865594107,0.0,1,0,1,1
ARUN,0.34855300949560947,0.4948198416633942,0.5944578351546039,0.46610575082239514,0,0.8369720702755791,0.452297738495556,0.5540106036374697,0.5970515160174673,0.6057068642773799,1,0,0,1
ASPV,0.33021137813174034,0.16692863793601687,0.3930586307962094,0.6988465093101808,0,0.834962086955974,0.5859060417295581,0.5719349306014374,0.474439864598188,0.0,1,0,1,1
ATEC,0.2865041015842972,0.9211175833083374,0.9497495737921189,0.8973068948802159,0,0.8269707320114433,0.5769043382749199,0.5287469589380303,0.4399271887634755,0.0,1,0,1,0
ATHN,0.34377709180538524,0.4645119996563709,0.6018865960131023,0.4483465216881144,0,0.8592946311062427,0.5929632906885693,0.5953141249431217,0.4904433677415351,0.5848035476425733,0,1,0,1
ATRC,0.3332434544264844,0.2539322472476502,0.48523034052352276,0.5462200456914597,0,0.8140156857500744,0.7666864816760306,0.6758549630351451,0.4010348122843268,0.0,1,0,1,1
AUXL,0.21406038624830756,0.24381444315911116,0.45661760392755646,0.4413997452574945,0,0.802433337424719,0.667075027385934,0.6187075649801672,0.44017589786192435,0.0,1,0,1,0
AVAV,0.4045503638821672,0.3726038895548718,0.46459486120956606,0.4361446139893097,0,0.8484184009772487,0.6894183552196438,0.5842983728917126,0.38509969934431526,0.5108729549290355,1,0,0,1
AVEO,0.32450706918876804,0.5600384943002816,0.6731368128949438,0.45699193328052967,0,0.8259290777845106,0.6038122547270035,0.534213707854617,0.4183746604364137,0.0,1,0,1,0
AVGO,0.39861304051843127,0.6975739796410618,0.8267644684915154,0.787347491387208,0,0.8968357019825707,0.28302430325324934,0.29243025502681075,0.5045625753102351,0.4149132666831218,1,0,0,1
AVNC,0.26845482947056626,0.27080820708806863,0.5105108902452533,0.5077459921737963,0,0.8160970604239492,0.6494312808146923,0.6034446675847658,0.44245151377657,0.0,1,0,1,0
AVR,0.5058231270968091,0.5099031867627639,0.5158886862364369,0.39627354243365787,0,0.8738616895968564,0.5750578055281803,0.5331329234934206,0.4462929201636471,0.330634159539279,1,0,0,0
AVRX,0.32311445698451924,0.24400791009700828,0.44687750422864214,0.4190536189691083,0,0.7887211397373363,0.8329518771890232,0.7458135411959859,0.4056128627264854,0.0,1,0,1,0
AWAY,0.394185781565014,0.74344151171104,0.7706944059829097,0.41665267104497206,0,0.795598213533722,0.4428930716269459,1.0,0.9999999999999999,0.38891111873282025,0,1,0,1
AWK,0.3186290517100224,0.7086880058128515,0.7806947595014666,0.7601093763447322,0,0.9144652825478425,0.33852783711911805,0.2510784702036908,0.38813669463383993,0.0,0,0,1,0
AYR,0.3594445108592581,0.5238828649375917,0.635877128600252,0.4361312015969774,0,0.8619318197998943,0.5167276494920383,0.5325362275136536,0.5060781598307754,0.35688292775180414,0,1,0,1
BAGL,0.3354011476938073,0.5142679544740401,0.6524751543913903,0.7308869587154274,1,0.8298478093329176,0.7157427712861928,0.6355969155517354,0.41011254016465337,0.0,0,0,1,1
BAH,0.3391391890757095,0.6729149380487347,0.7289860341757863,0.5323023795332609,0,0.8654958716114394,0.38014150389575896,0.46212834880017617,0.5823330650532134,0.0,0,1,1,1
BALT,0.15332593007696688,0.12350236275673776,0.3174016948559659,0.5642071028114495,0,0.8599316983491894,0.6517173166807328,0.4380748763744826,0.2698101131080996,0.0,0,0,1,0
BARE,0.39658607997975864,0.932823626804522,0.9835921522360982,0.7607070083839802,0,0.8811945057397002,0.4295704444471511,0.4409921855955199,0.5039017877232896,0.7211247851537043,1,0,0,1
BAS,0.40130999331199557,0.4905526259753086,0.6103738437230608,0.6358799900493017,0,0.8654042307099696,0.5816818616068478,0.4802987019070173,0.3846527329009721,0.9041497400811773,0,0,0,1
BBBB,0.319034931559881,0.4178224369025991,0.5659927309749244,0.37885581084644304,0,0.836045540371677,0.6319251951847935,0.6187075649801672,0.474439980711704,0.0,0,1,0,1
BBG,0.30580395228518137,0.568473730736466,0.6556764074493524,0.6255881933103622,0,0.8765908430372409,0.5479466832125457,0.47398592398328354,0.41250744068016054,0.5460216480685126,0,0,0,1
BBND,0.3921190149502041,0.43034798101992733,0.5595205498558435,0.6113509062300302,0,0.8525688824643364,0.49557855171276977,0.5055829212074663,0.5007049597764162,0.5665163349427049,1,0,0,1
BBRG,0.39299124801818014,0.4423525976610736,0.5674646577386111,0.5871270100008104,1,0.8482475193554933,0.6789821719290501,0.5167159745638852,0.3267843038508133,0.0,0,0,1,1
BBW,0.40130999331199557,0.3736980412345159,0.45365768554625774,0.39908676665934406,1,0.8535526617601545,0.6762181002318233,0.5653751009477865,0.37889957217333203,0.5609068938801837,0,0,0,1
BCOV,0.30288699571225236,0.6021313178060175,0.7114233236740293,0.5087297817793544,0,0.8218633281907088,0.623838681895938,0.6355969155517354,0.4986734048583442,0.0,0,1,0,1
BDAY,0.3423308952719279,0.28331558757806574,0.3717860659785004,0.4622600740789289,1,0.8122896113479081,0.8691334356127403,0.7171514884186356,0.34829890822991505,0.47495712579649835,0,0,0,1
BDE,0.4047333318084917,0.3679175677815967,0.5217417107039988,0.7063256478762605,0,0.8504935804688445,0.47713291863864526,0.4679358509206555,0.480850481314008,0.0,0,0,1,0
BEAT,0.42748962646428434,0.4447303767504547,0.5775506379326478,0.6385168140606363,0,0.8254129561659095,0.6472677057171499,0.6544787132015593,0.49361624273159055,0.0,0,1,1,0
BECN,0.39299124801818014,0.38482005695166865,0.4930646286929532,0.5646474784028521,0,0.8448652302742856,0.6239426846933078,0.4679358509206555,0.32920544630149473,0.0,0,0,0,0
BFAM,0.3906623374000613,0.569013177209519,0.646323409678893,0.3211234985723559,0,0.8674536175685276,0.4803079684506333,0.5150736389465909,0.5269059350362623,0.46415888336127786,0,1,0,1
BFRM,0.34472644726520174,0.37916598588773853,0.5152963854060686,0.6729176552906468,0,0.8277435723007627,0.5356168066654448,0.5167159745638852,0.47004110834066526,0.0,1,0,1,1
BHRT,0.33470918904490254,0.47499499867629114,0.547150905536175,0.5278701796550667,0,0.7375180746397877,0.7308055756010834,0.9306576937116091,0.6542189050130013,0.0,0,1,1,0
BIOD,0.3226364735386924,0.3926462695046702,0.5957836465254371,0.5322986055989194,0,0.8750169005014122,0.6775024735490423,0.6355969155517354,0.4463955738481584,0.0,1,0,0,1
BIOF,0.35786835548914914,0.280812425621193,0.43518689762348406,0.50472279066638,0,0.8828418544352821,0.5882177299972042,0.6269286144985955,0.5259613691413485,0.0,1,0,1,1
BKC,0.40085442741373717,0.6613784175564761,0.7802480985075655,0.7229162415305606,1,0.8814283407585022,0.36557868811517125,0.3724136528109643,0.5001842377779385,0.3968502629920499,0,0,0,1
BKRS,0.4090759204991132,0.2338782760515299,0.4048876621808597,0.6453924761091812,1,0.7763344310928022,0.9347286186866164,0.792556307481421,0.3598393838934293,0.3218297948685433,0,0,0,1
BLMN,0.4081951611657667,0.7566887636313226,0.8104653882090258,0.643698134411135,1,0.8554506277714835,0.38103012727235175,0.4409921855955199,0.558548422282334,0.0,0,0,1,1
BLOG,0.34408594446605495,0.5321566176766135,0.6570871629495587,0.40087102170769207,0,0.8403246933526389,0.6269406840135829,0.6355969155517354,0.4956072574670837,0.31176595388187206,0,1,0,1
BLSW,0.34179220375411007,0.5159810023916949,0.6577898019523225,0.6221617650270976,0,0.8234348658512675,0.8611313200449953,0.7292954453197193,0.3662100661569533,0.0,0,1,1,1
BMTI,0.33355915107937295,0.347291379285362,0.5492520365053952,0.6520898792477205,0,0.8010338169212489,0.7171732985205654,0.6505213073439364,0.42298839957001944,0.0,1,0,1,1
BNNY,0.4132103766606633,0.4336182237909445,0.5152963854060686,0.5454060629301565,0,0.8521504368879651,0.7050336154177401,0.6355969155517354,0.4201938854496821,0.4899973050296446,1,0,0,1
BODY,0.41914523813109583,0.42897686414612934,0.5263349673150777,0.6054862543084993,1,0.8187291679230232,0.7190727950961886,0.6355969155517354,0.40699023722582395,0.0,0,0,1,0
BOX,0.3332434544264844,0.6206052430751283,0.6957144161661821,0.7209383943107146,0,0.83434238434754,0.6806748546984007,0.5252098443231672,0.33390911875985063,0.0,0,1,1,1
BPI,0.40218295540598514,0.475722728551748,0.5975413861445587,0.6762916626717561,0,0.8461952722754237,0.5071634783278469,0.4679358509206555,0.4487557654935692,0.0,0,1,1,1
BRNC,0.3464862428807996,0.34699806989713045,0.4617210796509441,0.5839310900183694,0,0.8309290873581608,0.6864536299942507,0.632072969567048,0.43445472008107433,0.5108729549290355,0,0,0,1
BSFT,0.3977808758889462,0.7048703187165075,0.7977748132742215,0.5517384079019132,0,0.8173076440989584,0.6350604511560025,0.5649657352894266,0.41846914923358547,0.0,0,1,1,0
BTRX,0.194644282549349,0.15996601477696615,0.44687750422864214,0.4109055456291899,0,0.8225460606952448,0.6570514220878607,0.6355969155517354,0.46612823490510336,0.0,1,0,0,0
BUN,0.38896021757794247,0.2621281360399612,0.4022032598649694,0.4673555241806935,1,0.7821953985933597,0.9366588713097581,0.8077376951333601,0.37135991040418165,0.3815714141844439,0,0,0,1
BV,0.3420589839273823,0.6584004999410142,0.6954091099810502,0.35871556318079634,0,0.8476411337293772,0.809656605519784,0.5254845830719512,0.21510911280115566,0.6933612743506349,0,1,0,1
BWLD,0.3977808758889462,0.24031475201817054,0.432787148667362,0.6847374787350013,1,0.7978280938723074,0.8497258769314637,0.7292954453197193,0.3761067242881331,0.5108729549290355,0,0,0,0
BWTR,0.38280366895666446,0.45192165773296944,0.547150905536175,0.5590101839862693,0,0.8328620421394091,0.684360323544583,0.6034446675847658,0.40874156621522384,0.44964431302260927,0,0,0,1
BWY,0.39594557718061185,0.5121704548867729,0.6448554611150479,0.6743800037624963,0,0.8454680719567327,0.658723782431359,0.5160697592050578,0.3456460073632528,0.0,1,0,1,0
CAB,0.41032644921103817,0.6561033378539873,0.7748300669695163,0.5182857151685822,1,0.8561980843134364,0.475595480363312,0.5580274565074781,0.5757751466336041,0.6299605249474366,0,0,0,1
CABG,0.3481083361686686,0.034127127678245106,0.3048267715054618,0.3812851092633043,0,0.7969275095308614,0.7142144255897573,0.6187075649801672,0.39529564497682185,0.0,1,0,0,1
CADX,0.34440224113965334,0.23141897279496781,0.4303660049361495,0.5828663665345102,0,0.8140623613778507,0.6132863944630547,0.6034446675847658,0.4780563570820473,0.0,1,0,1,1
CALD,0.27367600822405513,0.4409870236465383,0.6293329607814593,0.5594978110710178,0,0.8282587344312784,0.6515367487325108,0.6355969155517354,0.4714890076825108,0.4252903702829902,0,1,0,1
CALL,0.39689493264042836,0.3212879067971728,0.520581154138289,0.6239731349594932,0,0.8012497322659878,0.6822022898059501,0.6758549630351451,0.47994295077370974,0.0,0,0,0,0
CALX,0.3361216605636464,0.5734340635951454,0.6381496926826964,0.6704206018799814,0,0.8314038626421889,0.569661617848265,0.5941550901835484,0.5129350293061102,0.43679023236814957,1,0,0,1
CAP,0.40340902515093113,0.632567632911464,0.5822249327275855,0.5698154273107849,0,0.8283154779624637,0.7000872184570106,0.6093739002971148,0.3995631667826427,0.0,0,1,0,0
CARB,0.32929617046679144,0.48115292979636903,0.609955722280846,0.5156769736222384,0,0.8243802565033904,0.6401790084079515,0.5963345434294913,0.4445340853495794,0.0,0,1,1,1
CATM,0.339362031133818,0.7300734874291064,0.8246849121733559,0.5678671145359799,0,0.8372036480970529,0.5595664008930079,0.4868968859792613,0.4141810946800697,0.0,0,1,1,0
CBEY,0.339362031133818,0.6322720687423056,0.6920278913688955,0.8360992628792905,0,0.8228099772656664,0.6291005682114754,0.5996403671283552,0.4586663959694157,0.0,0,0,1,0
CBOU,0.35111061536872745,0.39788768011574094,0.6005903175467702,0.5826444097394023,1,0.8210031759273289,0.6788705076118742,0.6233248508274851,0.43329218590103374,0.0,0,0,0,0
CCO,0.3398175970320764,0.5411521451739589,0.7303324416093393,0.6927574364877702,0,0.8944089238649491,0.22849409753896577,0.3227035193939445,0.6077361314787628,0.0,0,1,1,1
CDL,0.33117035657882316,0.4298392977613701,0.6218272806571559,0.5681604236875761,0,0.88266743700876,0.38139743779715474,0.3917409082456116,0.5038274772061195,0.3815714141844439,0,0,0,1
CDM,0.36157146062668083,0.42574463912275595,0.534743373444261,0.6040628456214798,0,0.7422954408612648,0.8298441780870842,0.9121952367138553,0.5497508774716429,0.0,0,1,1,1
CE,0.3218910478445804,0.8136160081478829,0.8782477868848102,0.8887289173364954,0,0.9012748589884654,0.3397375290316642,0.27176575031676364,0.41202697107113384,0.0,1,0,1,0
CEMP,0.32866662705144367,0.5672300322961568,0.6619678816395362,0.6072471253666263,0,0.8106908647221004,0.6742565655790944,0.5457794299711027,0.3610495115445478,0.0,1,0,1,1
CENF,0.38896021757794247,0.4100586236162931,0.5228973287161949,0.6898356190235728,0,0.8456699163840359,0.6946670151275516,0.5437894254704538,0.33953107402432026,0.4149132666831218,0,0,0,1
CERE,0.27746397333863715,0.5974160566984539,0.6764326036258463,0.44817598751390353,0,0.8913733831158959,0.6440107383202971,0.6355969155517354,0.47883250904971386,0.0,0,0,1,1
CF,0.39547741200696196,0.5481156087881067,0.6506802382533694,0.5115306323707993,0,0.8424330278301472,0.5016335289930112,0.29902037594487396,0.26416343647301926,0.0,1,0,0,0
CFX,0.41726606895165536,0.5196914501570045,0.6354965121075735,0.8120255671414753,0,0.8779636878072259,0.5486596395536445,0.41626256973529774,0.3493199017251639,0.5,1,0,0,1
CGTK,0.23555641476118805,0.10214465629659619,0.377754873787433,0.5728937355634778,0,0.8867018497423763,0.6255585131773191,0.6034446675847658,0.4658840760728855,0.4054801330382267,1,0,0,1
CHEF,0.4074285700193292,0.3773672636383223,0.5286027869496654,0.58019403227983,0,0.8478325768441309,0.6663937644748046,0.534213707854617,0.3568584335367276,0.0,0,0,0,1
CLAY,0.39594557718061185,0.4593387230504038,0.635877128600252,0.603957045730994,0,0.8478325768441309,0.6776814283897252,0.5649657352894266,0.3770857388725699,0.3968502629920499,0,1,0,1
CLD,0.42088988333369687,0.6708903861466884,0.7617510906378184,0.8676119773325592,0,0.8826532471347762,0.5934913491443368,0.34235378237751846,0.2200627703768527,0.0,0,0,1,0
CLU,0.39806383257483635,0.5227555157547674,0.5674646577386111,0.3655114269587423,0,0.8324879626423031,0.6711092583642522,0.5477958589606331,0.3661189644732021,0.0,1,0,1,0
CLUB,0.38896021757794247,0.40204524336069225,0.5188309666214799,0.5317770852120345,0,0.8385010002599943,0.6264642258416213,0.5351444326377264,0.3968009191136309,0.0,0,1,1,1
CLWR,0.31291992075528635,0.5380605681400472,0.6535464371339397,0.6453740491782542,0,0.8892069572467973,0.3652718572810709,0.37855860739113556,0.5074988931138771,0.34668063717531744,0,0,0,0
CML,0.3398175970320764,0.5330185104081444,0.6347336750243184,0.6524314626345009,0,0.8448857895383173,0.603660163741969,0.6034446675847658,0.48766507879654397,0.6102612222351425,0,1,0,1
CMP,0.39527132569042217,0.45217989136301995,0.5789613934328544,0.5982374531502459,0,0.8555853251760457,0.6007890504651119,0.4565454806985203,0.34008013479551347,0.0,0,0,1,1
CNSL,0.321617341672819,0.6932347683572537,0.7482617803534832,0.7226922426010771,0,0.8582256134487048,0.6035671779040594,0.4443052723798946,0.32410126932389166,0.0,0,0,1,1
CNVO,0.3500096870457523,0.5965409105554489,0.6694646388679648,0.5514984732464723,0,0.8117430602209281,0.7065653089719017,0.630936315901681,0.4142808075970062,0.0,0,1,1,1
CNVX,0.15533347492549227,0.14530196069835233,0.419617546634544,0.5139793079496005,0,0.8582190220287181,0.6218882384604143,0.6034446675847658,0.46951542792873535,0.0,1,0,1,1
COGT,0.39117070480863836,0.4428823057225615,0.6074333838100328,0.5877266661028631,0,0.8715156896932724,0.44648954520316053,0.42258912217398237,0.46514267440482815,0.44964431302260927,0,1,0,1
COLY,0.32072649283087035,0.31871155390844796,0.5228973287161949,0.5666241791192919,0,0.8369953009191909,0.6344809479994744,0.6034446675847658,0.4570883455436189,0.4054801330382267,1,0,0,1
COMV,0.3420589839273823,0.5023411356419669,0.6065873712159469,0.5883022780076097,0,0.838405332122095,0.6958402424424754,0.6252500584814893,0.418961761798086,0.5,1,0,0,1
CONN,0.3906623374000613,0.5037888199535341,0.6078554038220354,0.6950123731751106,1,0.8128987000943484,0.6521314488085483,0.6691428804071604,0.5026822126952628,0.4252903702829902,0,0,0,0
CONR,0.3282978522607568,0.18382435840092715,0.4031010121637688,0.8455481045681239,0,0.8253757774841429,0.5924943342036233,0.6034446675847658,0.49887813541048254,0.43679023236814957,1,0,0,1
CORT,0.328542978299464,0.05062805065976539,0.3583852156789753,0.70506208215087,0,0.8132567148356032,0.6503429622388435,0.6544787132015593,0.49061734792581135,0.0,1,0,1,1
CPII,0.41111854413169746,0.6042706559981457,0.6731368128949438,0.5171441288917356,0,0.8407701676563526,0.711967696049232,0.575325742584722,0.3548574376102205,0.38891111873282025,1,0,0,0
CPIX,0.39658607997975864,0.37456197202372143,0.534743373444261,0.4034606244482979,0,0.8272202109461957,0.6439652012586183,0.6355969155517354,0.4788770388300846,0.5108729549290355,1,0,0,0
CPX,0.41249567043282026,0.5271842887235163,0.6389030075154525,0.5743121037341279,0,0.8968556422092296,0.4622413034948387,0.3665333493625118,0.38522234552279266,0.35163388691695935,0,0,0,1
CRDC,0.29069318485913653,0.3257152721000667,0.47164901945630766,0.5397306400903858,0,0.7995040625492573,0.8103641694344326,0.7004396007437679,0.38446221790044155,0.0,1,0,1,1
CREL,0.33958812664750604,0.5261878585685249,0.6481472568502082,0.6722342397750083,0,0.8336668023860192,0.6366496014595828,0.5895334321079657,0.4413087883782008,0.0,0,1,1,0
CRI,0.40062145332676796,0.3920400534961086,0.5246215873535318,0.6549210820661249,0,0.8243136211386273,0.6180198352858213,0.5963345434294913,0.46639037653571735,0.3815714141844439,1,0,0,0
CRMH,0.3993989124187242,0.5059338939997673,0.6048873980712675,0.8233915046550981,0,0.9132228532235114,0.7094190839383074,0.5370232807938082,0.3186970706584347,0.0,0,0,1,1
CROX,0.39594557718061185,0.3905201848684978,0.5319693981192317,0.6312600803983579,0,0.8442685998341698,0.5608371866087349,0.5183765869647416,0.4456788451031648,0.4252903702829902,1,0,0,0
CRU,0.39527132569042217,0.2918615233462205,0.4660204278588078,0.6210960433422816,0,0.8630819083220044,0.7432750348668176,0.4679358509206555,0.21510911280115566,0.0,0,0,1,0
CRYO,0.3062202997465922,0.21575626207411158,0.39766943464491744,0.5816119549717935,0,0.8030240674926957,0.7885070530385452,0.6897105120665827,0.39413510364723353,0.0,1,0,1,0
CSCD,0.34687098385853254,0.4781726766005989,0.6107913223957029,0.6397296898985347,0,0.8224897045737187,0.7843549601651674,0.6252500584814893,0.3370187686345526,0.5503212081491046,1,0,0,0
CSIQ,0.39340325139495047,0.6293493121241385,0.6806581918105674,0.5088950683138687,0,0.8389864108859426,0.6180968886313938,0.560489207704852,0.43073767776110544,0.4149132666831218,1,0,0,1
CSTE,0.40864060378290595,0.6476881040008258,0.7281749738723655,0.5508302342032454,0,0.8229901765252804,0.5837825268912962,0.5853313877204753,0.4898825240268505,0.0,1,0,1,1
CTCT,0.34377709180538524,0.3920400534961086,0.5251939159596146,0.37391759733596963,0,0.8531579763932429,0.6192643351505343,0.5842983728917126,0.4533001577887593,0.6133748537965211,0,1,0,1
CTP,0.40596283540091105,0.256621966187208,0.44839890777679825,0.3547326928197845,0,0.793303750503667,0.8736563563283504,0.7796208815179435,0.4001509392906713,0.0,0,1,0,0
