I1,P(IPO),P(H),P(L),S2,P(Mid),C6_Prime,Y1,Y2
BAGL,2.8903717578961645,2.7589241763811208,2.9444389791664403,5.117993812416755,2.995732273553991,0.0,1,1
BAH,2.833213344056216,2.6684016487219453,2.833213344056216,5.087596335232384,2.8903717578961645,0.0,1,1
BALT,2.6390573296152584,2.519842099789747,2.6390573296152584,3.6109179126442243,2.70805020110221,0.0,1,0
BARE,3.091042453358316,2.5712815906582356,2.70805020110221,6.354370040797351,2.772588722239781,3.3471647504108475,0,1
BAS,2.995732273553991,2.2894284851066633,2.3978952727983707,4.844187086458591,2.4423470353692043,4.196691337474689,0,1
BBBB,2.6390573296152584,2.46621207433047,2.5649493574615367,4.02535169073515,2.6390573296152584,0.0,0,1
BBG,3.2188758248682006,2.843866979851566,2.995732273553991,5.0238805208462765,3.068052935133617,2.5344079845856546,0,1
BBND,2.5649493574615367,2.2894284851066633,2.302585092994046,4.61512051684126,2.3978952727983707,2.6295358943292957,0,1
BBRG,2.6390573296152584,2.519842099789747,2.6390573296152584,4.59511985013459,2.70805020110221,0.0,1,1
BBW,2.995732273553991,2.620741394208897,2.772588722239781,3.9512437185814275,2.833213344056216,2.6034991753306884,0,1
BCOV,2.3978952727983707,2.2894284851066633,2.302585092994046,4.812184355372417,2.3978952727983707,0.0,0,1
BDAY,2.740840023925201,2.46621207433047,2.5649493574615367,3.871201010907891,2.6390573296152584,2.2045556915418465,0,1
BDE,2.5649493574615367,2.46621207433047,2.4849066497880004,4.672828834461906,2.6026896854443837,0.0,1,0
BEAT,2.8903717578961645,2.7144176165949063,2.8903717578961645,4.727387818712341,2.9444389791664403,0.0,1,0
BECN,2.5649493574615367,2.4101422641752306,2.4849066497880004,4.382026634673881,2.5649493574615367,0.0,0,0
BFAM,3.091042453358316,2.7589241763811208,2.9444389791664403,4.343805421853684,2.995732273553991,2.1544346900318834,0,1
BFRM,2.0794415416798357,2.2239800905693157,2.1972245773362196,4.605170185988092,2.302585092994046,0.0,1,1
BHRT,1.6582280766035324,2.519842099789747,2.6390573296152584,4.5217885770490405,2.70805020110221,0.0,1,0
BIOD,2.70805020110221,2.519842099789747,2.6390573296152584,4.30406509320417,2.70805020110221,0.0,0,1
BIOF,2.3513752571634776,2.4101422641752306,2.5649493574615367,3.912023005428146,2.6026896854443837,0.0,1,1
BKC,2.833213344056216,2.5712815906582356,2.70805020110221,5.5254529391317835,2.772588722239781,1.8420157493201932,0,1
BKRS,2.0476928433652555,2.0,1.9459101490553132,4.189654742026425,2.0149030205422647,1.4938015821857216,0,1
BLMN,2.3978952727983707,2.46621207433047,2.5649493574615367,5.6240175061873385,2.6390573296152584,0.0,1,1
BLOG,2.833213344056216,2.5712815906582356,2.772588722239781,4.3694478524670215,2.803360380906535,1.4470893702387337,0,1
BLSW,1.6094379124341003,1.8171205928321394,1.6094379124341003,4.852030263919617,1.7047480922384253,0.0,1,1
BMTI,2.0794415416798357,2.3513346877207577,2.3978952727983707,4.477336814478207,2.4849066497880004,0.0,1,1
BNNY,2.9444389791664403,2.620741394208897,2.772588722239781,4.532599493153256,2.833213344056216,2.274366019525953,0,1
BODY,2.5649493574615367,2.519842099789747,2.6390573296152584,4.605170185988092,2.70805020110221,0.0,1,0
BOX,2.302585092994046,2.620741394208897,2.772588722239781,5.4116460518550396,2.833213344056216,0.0,1,1
BPI,2.3513752571634776,2.519842099789747,2.6390573296152584,4.882801922586371,2.70805020110221,0.0,1,1
BRNC,2.833213344056216,2.519842099789747,2.6390573296152584,4.343805421853684,2.70805020110221,2.371262202993375,0,1
BSFT,2.1972245773362196,2.2239800905693157,2.1972245773362196,5.198497031265826,2.302585092994046,0.0,1,0
BTRX,2.70805020110221,2.519842099789747,2.6390573296152584,3.367295829986474,2.70805020110221,0.0,0,0
BUN,2.2512917986064953,2.1544346900318834,2.0794415416798357,3.8501476017100584,2.1972245773362196,1.7710976153043514,0,1
BV,2.4849066497880004,2.1544346900318834,2.0794415416798357,4.700480365792417,2.1972245773362196,3.218297948685433,0,1
BWLD,2.833213344056216,2.519842099789747,2.6390573296152584,4.343805421853684,2.70805020110221,2.371262202993375,0,0
BWTR,2.4849066497880004,2.2894284851066633,2.302585092994046,4.5217885770490405,2.3978952727983707,2.087064022423232,0,1
BWY,2.70805020110221,2.620741394208897,2.772588722239781,4.983606621708336,2.833213344056216,0.0,1,0
CAB,2.995732273553991,2.5712815906582356,2.70805020110221,4.983606621708336,2.772588722239781,2.924017738212866,0,1
CABG,1.7047480922384253,1.8171205928321394,1.6094379124341003,2.995732273553991,1.7047480922384253,0.0,0,1
CADX,2.1972245773362196,2.46621207433047,2.3978952727983707,4.007333185232471,2.5649493574615367,0.0,1,1
CALD,2.6390573296152584,2.4101422641752306,2.4849066497880004,4.5217885770490405,2.5649493574615367,1.9740230337485711,0,1
CALL,2.302585092994046,2.2239800905693157,2.1972245773362196,4.356708826689592,2.302585092994046,0.0,0,0
CALX,2.5649493574615367,2.3513346877207577,2.3978952727983707,5.123963979403259,2.4849066497880004,2.027400665191134,0,1
CAP,2.70805020110221,2.519842099789747,2.6390573296152584,5.075173815233827,2.70805020110221,0.0,0,0
CARB,2.302585092994046,2.5712815906582356,2.70805020110221,4.59511985013459,2.772588722239781,0.0,1,1
CATM,2.302585092994046,2.519842099789747,2.6390573296152584,5.308267697401205,2.70805020110221,0.0,1,0
CBEY,2.4849066497880004,2.4101422641752306,2.5649493574615367,5.703782474656201,2.6026896854443837,0.0,1,0
CBOU,2.6390573296152584,2.46621207433047,2.5649493574615367,4.51085950651685,2.6390573296152584,0.0,0,0
CCO,2.8903717578961645,2.8020393306553877,2.995732273553991,5.10594547390058,3.044522437723423,0.0,1,1
CDL,2.9444389791664403,2.6684016487219453,2.833213344056216,4.532599493153256,2.8903717578961645,1.7710976153043514,0,1
CDM,1.6582280766035324,1.9129311827723894,1.791759469228055,4.574710978503383,1.8718021769015913,0.0,1,1
CE,2.772588722239781,2.7589241763811208,2.9444389791664403,6.315358001522335,2.995732273553991,0.0,1,0
CEMP,1.791759469228055,2.3513346877207577,2.3978952727983707,4.983606621708336,2.4849066497880004,0.0,1,1
CENF,2.70805020110221,2.46621207433047,2.5649493574615367,4.795790545596741,2.6390573296152584,1.9258567855541788,0,1
CERE,2.5649493574615367,2.5712815906582356,2.772588722239781,4.653960350157523,2.803360380906535,0.0,1,1
CF,2.772588722239781,2.5712815906582356,2.70805020110221,4.6913478822291435,2.772588722239781,0.0,0,0
CFX,2.8903717578961645,2.5712815906582356,2.70805020110221,5.337538079701318,2.772588722239781,2.320794416806389,0,1
CGTK,2.772588722239781,2.519842099789747,2.6390573296152584,3.6375861597263857,2.70805020110221,1.8820720577620569,0,1
CHEF,2.70805020110221,2.519842099789747,2.6390573296152584,4.406719247264253,2.70805020110221,0.0,0,1
CLAY,2.833213344056216,2.5712815906582356,2.70805020110221,4.68213122712422,2.772588722239781,1.8420157493201932,0,1
CLD,2.70805020110221,2.620741394208897,2.772588722239781,5.43372200355424,2.833213344056216,0.0,1,0
CLU,2.5649493574615367,2.5712815906582356,2.70805020110221,4.30406509320417,2.772588722239781,0.0,1,0
CLUB,2.5649493574615367,2.620741394208897,2.772588722239781,4.382026634673881,2.833213344056216,0.0,1,1
CLWR,3.2188758248682006,2.924017738212866,3.1354942159291497,4.990432586778736,3.1780538303479458,1.6091489743427165,0,0
CML,2.6026896854443837,2.2894284851066633,2.302585092994046,4.969813299576001,2.3978952727983707,2.8325816747135235,0,1
CMP,2.5649493574615367,2.46621207433047,2.5649493574615367,4.6443908991413725,2.6390573296152584,0.0,1,1
CNSL,2.5649493574615367,2.519842099789747,2.6390573296152584,5.6131281063880705,2.70805020110221,0.0,1,1
CNVO,2.1972245773362196,2.2894284851066633,2.302585092994046,4.897839799950911,2.3978952727983707,0.0,1,1
CNVX,2.4849066497880004,2.4101422641752306,2.4849066497880004,3.6109179126442243,2.5649493574615367,0.0,1,1
COGT,2.4849066497880004,2.2894284851066633,2.302585092994046,4.574710978503383,2.3978952727983707,2.087064022423232,0,1
COLY,2.772588722239781,2.519842099789747,2.6390573296152584,4.219507705176107,2.70805020110221,1.8820720577620569,0,1
COMV,2.8903717578961645,2.5712815906582356,2.70805020110221,4.770684624465665,2.772588722239781,2.320794416806389,0,1
CONN,2.6390573296152584,2.4101422641752306,2.4849066497880004,5.030437921392435,2.5649493574615367,1.9740230337485711,0,0
CONR,2.5649493574615367,2.3513346877207577,2.3978952727983707,4.499809670330265,2.4849066497880004,2.027400665191134,0,1
CORT,2.4849066497880004,2.5712815906582356,2.70805020110221,3.8066624897703196,2.772588722239781,0.0,1,1
CPII,2.8903717578961645,2.620741394208897,2.772588722239781,4.859812404361672,2.833213344056216,1.805165505978112,0,0
CPIX,2.833213344056216,2.519842099789747,2.6390573296152584,3.970291913552122,2.70805020110221,2.371262202993375,0,0
CPX,3.1780538303479458,2.8844991406148166,3.091042453358316,4.804021044733257,3.1354942159291497,1.6321399230336169,0,1
CRDC,2.302585092994046,2.2894284851066633,2.302585092994046,4.1588830833596715,2.3978952727983707,0.0,1,1
CREL,2.772588722239781,2.7144176165949063,2.8903717578961645,5.030437921392435,2.9444389791664403,0.0,1,0
CRI,2.9444389791664403,2.6684016487219453,2.833213344056216,4.6443908991413725,2.8903717578961645,1.7710976153043514,0,0
CRMH,2.5649493574615367,2.519842099789747,2.5649493574615367,5.3471075307174685,2.6741486494265287,0.0,1,1
CROX,3.044522437723423,2.7144176165949063,2.9444389791664403,4.564348191467836,2.970414465569701,1.9740230337485711,0,0
CRU,2.9444389791664403,2.7589241763811208,2.9444389791664403,4.23410650459726,2.995732273553991,0.0,1,0
CRYO,2.3978952727983707,2.3513346877207577,2.3978952727983707,3.9512437185814275,2.4849066497880004,0.0,1,0
CSCD,2.6390573296152584,2.3513346877207577,2.3978952727983707,4.844187086458591,2.4849066497880004,2.5543647746451774,0,0
CSIQ,2.70805020110221,2.46621207433047,2.5649493574615367,4.890349128221754,2.6390573296152584,1.9258567855541788,0,1
CSTE,2.3978952727983707,2.519842099789747,2.6390573296152584,5.043425116919247,2.70805020110221,0.0,1,1
CTCT,2.772588722239781,2.4101422641752306,2.4849066497880004,3.9318256327243257,2.5649493574615367,2.847033872200803,0,1
CTP,2.5649493574615367,2.4101422641752306,2.4849066497880004,3.6375861597263857,2.5649493574615367,0.0,0,0
CTRN,2.6390573296152584,2.4101422641752306,2.4849066497880004,3.9889840465642745,2.5649493574615367,1.9740230337485711,0,1
CVGI,2.5649493574615367,2.5712815906582356,2.70805020110221,4.7535901911063645,2.772588722239781,0.0,1,1
CVI,2.9444389791664403,2.7144176165949063,2.8903717578961645,5.82600010738045,2.9444389791664403,0.0,0,1
CXO,2.4423470353692043,2.519842099789747,2.6390573296152584,4.787491742782046,2.70805020110221,0.0,1,1
CYNO,2.70805020110221,2.4101422641752306,2.4849066497880004,4.0943445622221,2.5649493574615367,2.4871131731971623,0,1
CYTK,2.5649493574615367,2.3513346877207577,2.3978952727983707,3.871201010907891,2.4849066497880004,2.027400665191134,0,1
CZR,2.1972245773362196,2.1544346900318834,2.0794415416798357,5.634789603169249,2.1972245773362196,0.0,0,1
DBTK,2.3978952727983707,2.2239800905693157,2.1972245773362196,4.543294782270004,2.302585092994046,2.1544346900318834,0,1
DCIN,1.8082887711792655,2.080083823051904,1.791759469228055,3.6635616461296463,2.0149030205422647,0.0,1,1
DCP,2.70805020110221,2.5712815906582356,2.70805020110221,4.330733340286331,2.772588722239781,0.0,1,0
DDMG,2.1400661634962708,2.2894284851066633,2.302585092994046,5.181783550292085,2.3978952727983707,0.0,1,0
DDUP,2.70805020110221,2.3811015779522995,2.4423470353692043,4.499809670330265,2.5257286443082556,2.7144176165949063,0,1
DEEP,2.70805020110221,2.519842099789747,2.6390573296152584,4.23410650459726,2.70805020110221,0.0,0,1
DEIX,2.772588722239781,2.5712815906582356,2.70805020110221,4.74493212836325,2.772588722239781,0.0,0,0
DEX,2.9444389791664403,2.9624960684073707,3.1354942159291497,4.290459441148391,3.1986731175506815,0.0,1,1
DG,3.044522437723423,2.843866979851566,3.044522437723423,5.44673737166631,3.091042453358316,0.0,1,1
DHX,2.5649493574615367,2.3513346877207577,2.3978952727983707,5.272999558563747,2.4849066497880004,2.027400665191134,0,1
DIVX,2.772588722239781,2.4101422641752306,2.4849066497880004,4.532599493153256,2.5649493574615367,2.847033872200803,0,1
DK,2.772588722239781,2.519842099789747,2.6390573296152584,4.060443010546419,2.70805020110221,1.8820720577620569,0,1
DLB,2.8903717578961645,2.620741394208897,2.772588722239781,4.804021044733257,2.833213344056216,1.805165505978112,0,1
DM,2.6741486494265287,2.493315476119323,2.6026896854443837,5.2574953720277815,2.6741486494265287,0.0,0,1
DMAN,2.3978952727983707,2.2894284851066633,2.302585092994046,4.564348191467836,2.3978952727983707,0.0,0,0
DMD,2.833213344056216,2.519842099789747,2.6390573296152584,5.10594547390058,2.70805020110221,2.371262202993375,0,1
DMED,1.9459101490553132,2.2894284851066633,2.302585092994046,4.852030263919617,2.3978952727983707,0.0,1,0
DMND,2.833213344056216,2.519842099789747,2.6390573296152584,3.6888794541139363,2.70805020110221,2.371262202993375,0,1
DNKN,2.9444389791664403,2.620741394208897,2.772588722239781,5.455321115357702,2.833213344056216,2.274366019525953,0,1
DOLE,2.5257286443082556,2.46621207433047,2.5649493574615367,5.66988092298052,2.6390573296152584,0.0,1,0
DPZ,2.6390573296152584,2.5712815906582356,2.70805020110221,4.007333185232471,2.772588722239781,0.0,1,0
DRC,3.044522437723423,2.7589241763811208,2.9444389791664403,4.77912349311153,2.995732273553991,1.7099759466766968,0,1
DRTX,2.1972245773362196,2.3513346877207577,2.3978952727983707,4.624972813284271,2.4849066497880004,0.0,1,1
DSUP,2.4849066497880004,2.46621207433047,2.5649493574615367,5.153291594497779,2.6390573296152584,0.0,1,0
DSW,2.9444389791664403,2.5712815906582356,2.70805020110221,4.477336814478207,2.772588722239781,2.656646422956528,0,0
DTSI,2.833213344056216,2.519842099789747,2.6390573296152584,4.553876891600541,2.70805020110221,2.371262202993375,0,1
DVAX,2.0149030205422647,2.4101422641752306,2.4849066497880004,3.784189633918261,2.5649493574615367,0.0,1,1
DVOX,2.70805020110221,2.5712815906582356,2.70805020110221,4.532599493153256,2.772588722239781,0.0,1,0
DVR,2.5649493574615367,2.519842099789747,2.6390573296152584,4.330733340286331,2.70805020110221,0.0,1,0
DWA,3.332204510175204,2.924017738212866,3.1354942159291497,4.143134726391533,3.1780538303479458,2.5543647746451774,0,1
DWRE,2.772588722239781,2.4384994805366564,2.5257286443082556,4.564348191467836,2.6026896854443837,2.645668419946999,0,1
DWRI,2.4849066497880004,2.2894284851066633,2.302585092994046,3.8918202981106265,2.3978952727983707,2.087064022423232,0,1
DXCM,2.4849066497880004,2.4101422641752306,2.4849066497880004,3.4011973816621555,2.5649493574615367,0.0,1,0
DYP,2.1400661634962708,2.1897595699439445,2.1400661634962708,5.438079308923196,2.2512917986064953,0.0,1,0
EBS,2.5257286443082556,2.519842099789747,2.6390573296152584,4.330733340286331,2.70805020110221,0.0,1,0
ECHO,2.6390573296152584,2.46621207433047,2.5649493574615367,3.871201010907891,2.6390573296152584,0.0,0,1
ECYT,1.791759469228055,2.46621207433047,2.5649493574615367,4.5217885770490405,2.6390573296152584,0.0,1,1
EDG,2.3978952727983707,2.519842099789747,2.6390573296152584,5.4116460518550396,2.70805020110221,0.0,1,0
EDMC,2.8903717578961645,2.7144176165949063,2.8903717578961645,5.087596335232384,2.9444389791664403,0.0,1,1
EEEE,2.3978952727983707,2.519842099789747,2.6390573296152584,4.382026634673881,2.70805020110221,0.0,1,1
EGLT,2.740840023925201,2.519842099789747,2.6390573296152584,4.290459441148391,2.70805020110221,1.4938015821857216,0,0
ELOQ,2.4423470353692043,2.2571787177370006,2.2512917986064953,4.795790545596741,2.3513752571634776,2.1196796658966526,0,1
EM,2.740840023925201,2.493315476119323,2.6026896854443837,4.727387818712341,2.6741486494265287,1.9034610713106546,0,1
EMAG,2.5649493574615367,2.46621207433047,2.5649493574615367,4.48863636973214,2.6390573296152584,0.0,1,1
ENPH,1.791759469228055,1.9129311827723894,1.791759469228055,4.74493212836325,1.8718021769015913,0.0,1,1
ENSG,2.772588722239781,2.8020393306553877,2.995732273553991,4.976733742420574,3.044522437723423,0.0,1,0
ENTA,2.6390573296152584,2.519842099789747,2.6390573296152584,4.465908118654584,2.70805020110221,0.0,1,1
ENTR,1.791759469228055,2.0,1.791759469228055,4.77912349311153,1.9459101490553132,0.0,1,1
ENV,2.1972245773362196,2.1544346900318834,2.1972245773362196,4.59511985013459,2.2512917986064953,0.0,1,1
EPAM,2.4849066497880004,2.620741394208897,2.772588722239781,4.68213122712422,2.833213344056216,0.0,1,1
EPOC,2.772588722239781,2.46621207433047,2.5649493574615367,4.882801922586371,2.6390573296152584,2.4264275032025866,0,1
ERII,2.1400661634962708,2.080083823051904,1.9459101490553132,4.189654742026425,2.0794415416798357,1.8420157493201932,0,1
ETRM,2.0794415416798357,2.080083823051904,2.0794415416798357,4.276666119016055,2.1400661634962708,0.0,1,1
EVVV,2.6390573296152584,2.620741394208897,2.772588722239781,5.209486152841421,2.833213344056216,0.0,1,1
EXA,2.302585092994046,2.3513346877207577,2.3978952727983707,5.017279836814924,2.4849066497880004,0.0,1,0
EXAM,2.772588722239781,2.620741394208897,2.772588722239781,4.948759890378168,2.833213344056216,0.0,1,1
EXLS,2.6026896854443837,2.2894284851066633,2.302585092994046,4.718498871295094,2.3978952727983707,2.8325816747135235,0,1
EXPR,2.833213344056216,2.7144176165949063,2.8903717578961645,5.19295685089021,2.9444389791664403,0.0,1,0
EYET,3.044522437723423,2.7144176165949063,2.8903717578961645,3.5263605246161616,2.9444389791664403,2.19158741684435,0,1
FACE,2.833213344056216,2.5712815906582356,2.70805020110221,4.418840607796598,2.772588722239781,1.8420157493201932,0,1
FANG,2.8622008809294686,2.6684016487219453,2.833213344056216,5.0689042022202315,2.8903717578961645,0.0,1,0
FB,3.6375861597263857,3.3619754067989636,3.5263605246161616,4.653960350157523,3.58351893845611,1.7710976153043514,0,1
FCL,3.091042453358316,2.6684016487219453,2.833213344056216,5.236441962829949,2.8903717578961645,2.811442217672497,0,0
FFN,2.302585092994046,2.2894284851066633,2.302585092994046,5.43372200355424,2.3978952727983707,0.0,1,0
FIO,2.9444389791664403,2.620741394208897,2.772588722239781,4.700480365792417,2.833213344056216,2.274366019525953,0,1
FIRE,2.70805020110221,2.4101422641752306,2.4849066497880004,5.003946305945459,2.5649493574615367,2.4871131731971623,0,1
FIVE,2.833213344056216,2.5712815906582356,2.70805020110221,4.343805421853684,2.772588722239781,1.8420157493201932,0,1
FLT,3.1354942159291497,2.9624960684073707,3.1354942159291497,5.0369526024136295,3.1986731175506815,0.0,1,1
FLTX,2.833213344056216,2.5712815906582356,2.70805020110221,5.384495062789089,2.772588722239781,1.8420157493201932,0,1
FN,2.302585092994046,2.4101422641752306,2.4849066497880004,4.976733742420574,2.5649493574615367,0.0,1,1
FNET,2.1972245773362196,2.3513346877207577,2.3978952727983707,4.276666119016055,2.4849066497880004,0.0,1,1
FOLD,2.70805020110221,2.519842099789747,2.6390573296152584,4.3694478524670215,2.70805020110221,0.0,0,0
FOXH,2.6390573296152584,2.4101422641752306,2.4849066497880004,3.784189633918261,2.5649493574615367,1.9740230337485711,0,1
FRAN,2.833213344056216,2.519842099789747,2.6390573296152584,5.003946305945459,2.70805020110221,2.371262202993375,0,1
FRP,2.917770732084279,2.7144176165949063,2.8903717578961645,4.762173934797756,2.9444389791664403,0.0,1,0
FSL,2.8903717578961645,2.8844991406148166,3.091042453358316,5.993961427306569,3.1354942159291497,0.0,1,1
FSLR,2.995732273553991,2.6684016487219453,2.833213344056216,5.231108616854587,2.8903717578961645,2.2314431669405645,0,1
FSTC,2.4849066497880004,2.4101422641752306,2.4849066497880004,4.248495242049359,2.5649493574615367,0.0,1,0
FTD,2.5649493574615367,2.4101422641752306,2.4849066497880004,4.290459441148391,2.5649493574615367,0.0,0,1
FTNT,2.5257286443082556,2.2239800905693157,2.1972245773362196,4.875197323201151,2.302585092994046,2.924017738212866,0,0
FUQI,2.1972245773362196,2.080083823051904,1.9459101490553132,4.406719247264253,2.0794415416798357,2.320794416806389,0,1
G,2.6390573296152584,2.620741394208897,2.772588722239781,4.727387818712341,2.833213344056216,0.0,1,1
GASS,2.6741486494265287,2.519842099789747,2.6390573296152584,4.060443010546419,2.70805020110221,0.0,1,0
GEVO,2.70805020110221,2.46621207433047,2.5649493574615367,4.941642422609304,2.6390573296152584,1.9258567855541788,0,1
GGL,2.8903717578961645,2.620741394208897,2.772588722239781,4.430816798843313,2.833213344056216,1.805165505978112,0,1
GGS,2.4849066497880004,2.5712815906582356,2.70805020110221,4.718498871295094,2.772588722239781,0.0,1,0
