I1,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,P(Mid),Y1,Y2,C3_Prime,C5_Prime,C6_Prime,industry,industry_1,industry_2,industry_3,industry_4,industry_5,S1_Prime,S2_Prime,S3_Prime,T3_Prime,T4_Prime,T5_Prime,market_cap
ADLS,1.6094379124341003,2.080083823051904,2.0794415416798357,1.8171205928321394,4.59511985013459,True,-7.356378377311814,0.015487112031121256,0.3552168257663411,0.36263874750774633,-1.1394342831883648,5.53338948872752,8.663542087751374,8.556413904569519,2.2732464125922696,5.953243334287785,3.367295829986474,3.713572066704308,4.248495242049359,2.1400661634962708,1,1,0,0.9347928500092274,0.0,1.0,1,0,0,0,0,-5.2962462577649,-4.949970021047067,-4.415046845702015,0.8071414345816643,0.29752066115702475,0.06651693158258466,17.37085861945369
ADZA,2.772588722239781,2.519842099789747,2.6390573296152584,2.7007771317150056,4.836281906951478,True,0.6463304070095651,0.019731083271667373,0.3560912494255973,0.3680313706098058,3.2771069964311046,5.327876168789581,8.653819788948063,8.50976567558744,2.2814091836832344,5.556828061699537,3.044522437723423,3.7612001156935624,4.382026634673881,2.70805020110221,0,1,1,1.4439241342229756,1.8820720577620569,1.0,1,0,0,0,0,-5.609297351224639,-4.8926196732545,-4.271793154274181,0.7496804523910281,0.4684937317372043,0.04518492672714585,17.909855120186375
AFFY,3.2188758248682006,2.8844991406148166,3.091042453358316,3.2357960345758863,4.941642422609304,True,-1.2986178604402843,-0.0063156046994000984,0.3568962997634332,0.3681515712881636,-2.6036901857779675,6.030685260261263,9.26501793326688,9.19370273082316,2.4770531765914834,6.587550014824796,4.394449154672439,4.770684624465665,4.927253685157205,3.1354942159291497,0,1,0,1.3526438031057588,2.0563674454038523,1.0,1,0,0,0,0,-4.87056877859444,-4.494333308801214,-4.337764248109674,0.8670744761699798,0.3083452755177515,0.06873698163226662,18.342719202482655
AGAM,2.6741486494265287,2.519842099789747,2.70805020110221,2.4440924101318706,6.1903154058531475,True,0.5646216173286169,0.023274685510332935,0.3478082086345105,0.35720569013448644,5.1173708639336155,6.436150368369428,9.832689481227412,9.709356537782675,2.6913112869829345,6.812345094177479,4.584967478670572,5.545177444479562,5.147494476813453,2.740840023925201,1,1,1,1.29149445110579,0.0,1.0,1,0,0,0,0,-5.2477220025568405,-4.2875120367478505,-4.68519500441396,0.7814017264830883,0.3708497698882314,0.048784414748027694,19.110698031503382
AH,2.4849066497880004,2.519842099789747,2.6390573296152584,2.3840375878042805,5.4510384535657,True,0.5539658256754463,-0.08545458841445729,0.3439088268456504,0.3597196582581332,6.234787125459335,6.373319789577012,9.80598497117489,9.666625329080981,2.728925473211958,6.47543271670409,4.584967478670572,4.5217885770490405,5.043425116919247,2.70805020110221,1,1,1,2.1973990843312103,0.0,2.0,0,1,0,0,0,-5.221017492504317,-5.284196394125849,-4.762559854255643,0.7567523057394051,0.49671225057950597,0.03577334362253335,18.60300230074632
AHII,2.3978952727983707,2.2894284851066633,2.302585092994046,2.3176958892008144,4.8283137373023015,True,0.6767899452107006,0.0002548563257563511,0.3529023159634788,0.3584025029372334,6.347725405325054,5.594711379601839,8.772765209949785,8.645938147306799,2.278704478832458,5.817111159963204,3.58351893845611,3.4965075614664802,4.418840607796598,2.3978952727983707,0,1,1,0.72373527846674,0.0,5.0,0,0,0,0,1,-5.1892462714936745,-5.276257648483305,-4.353924602153187,0.7759601406297745,0.2708641395226711,0.05204460966542751,18.681505362234265
AIMC,2.6026896854443837,2.519842099789747,2.6390573296152584,2.426670119533352,4.343805421853684,True,0.5192494101851104,-0.0063156046994000984,0.35328806491112413,0.3597196582581332,5.895683006230479,5.968707559985366,9.334503014596605,9.16837188715368,2.5048563546461438,6.401917196727186,4.276666119016055,4.897839799950911,4.890349128221754,2.70805020110221,1,1,1,0.8367101940503451,0.0,1.0,1,0,0,0,0,-5.05783689558055,-4.4366632146456935,-4.444153886374852,0.7172991829698709,0.39906201555458165,0.05325914149443561,18.720785336402702
AIRV,1.9459101490553132,2.1544346900318834,2.0794415416798357,1.9282931275651747,4.5217885770490405,True,1.056721805258721,0.036830796877746964,0.34621276439938686,0.36123057035526895,5.137385412432552,6.269096283706261,9.511629447834181,9.427948631791715,2.619391539239756,6.259581464064923,3.9889840465642745,4.31748811353631,4.762173934797756,2.1972245773362196,1,1,1,2.0327280262579412,0.0,1.0,1,0,0,0,0,-5.522645401269906,-5.19414133429787,-4.749455513036424,0.8458936537328507,0.3742287936179981,0.03869488014205386,17.87767622182214
ALGT,2.8903717578961645,2.5712815906582356,2.70805020110221,2.9279112566304817,5.332718793265369,True,0.8572618882313394,-0.01269239188194706,0.35471859071164535,0.3654989156570514,4.886582645426277,6.238324625039508,9.365975663507632,9.229063985974285,2.537572993164711,6.061456918928017,3.9512437185814275,4.356708826689592,4.51085950651685,2.772588722239781,0,1,1,1.3374156755325535,2.320794416806389,3.0,0,0,1,0,0,-5.414731944926205,-5.00926683681804,-4.855116156990782,0.7604663959327919,0.2719459533691406,0.03671687778158165,18.31532022829454
ALIM,2.3978952727983707,2.5712815906582356,2.70805020110221,2.2239800905693157,5.159055299214529,True,-1.1266231713345758,0.045262646375410436,0.35113858522130226,0.36319516258658396,4.592588484196865,6.159095388491933,9.53249633228804,9.433483923290392,2.5815583865742617,6.643789733147672,4.189654742026425,4.912654885736052,5.204006687076795,2.772588722239781,1,0,0,1.5561677356108232,0.0,1.0,1,0,0,0,0,-5.342841590261615,-4.619841446551988,-4.328489645211245,0.8203494934553199,0.39161664334976687,0.05564814143902616,18.092870880409805
ALJ,2.772588722239781,2.519842099789747,2.6390573296152584,2.5838246261818116,4.356708826689592,True,0.8750340122833273,0.05404000937680397,0.34850358226387335,0.35956084783487613,7.4428230724409135,6.3818160174060985,9.569063217532216,9.426902311924838,2.6584538015022856,6.51471269087253,4.04305126783455,4.290459441148391,4.477336814478207,2.70805020110221,0,1,1,1.4887341450020337,1.8820720577620569,1.0,1,0,0,0,0,-5.526011949697665,-5.278603776383824,-5.091726403054009,0.7525244349328375,0.3567585983778105,0.04715333566189312,18.91048700049428
ALLI,2.5649493574615367,2.4101422641752306,2.4849066497880004,2.545821684829745,4.219507705176107,True,-0.9509685413058151,0.002545640136170962,0.35833930443995976,0.3674560133789501,4.168307285732511,5.631211781821365,8.790116892892472,8.68084148294457,2.302489781167531,5.730099782973574,3.367295829986474,4.532599493153256,4.574710978503383,2.5649493574615367,0,1,0,1.0898200835949818,0.0,2.0,0,1,0,0,0,-5.4228210629059985,-4.257517399739217,-4.21540591438909,0.8036826353390306,0.28520959391580275,0.04688689298218907,17.7667542765457
ALNY,1.791759469228055,2.0,1.791759469228055,1.8181295670318784,4.51085950651685,True,-3.0947535260967562,0.03582773310561604,0.35462566361685177,0.3654989156570514,-1.7372712839439852,5.5134287461649825,8.78462153484075,8.695674048824253,2.305058100333494,5.950642552587727,4.060443010546419,3.6635616461296463,4.605170185988092,1.9459101490553132,1,1,0,1.3498031833931343,0.0,1.0,1,0,0,0,0,-4.724178524294331,-5.121059888711104,-4.179451348852659,0.8370303304662743,0.3658298647242456,0.058778509107607534,17.216707939626428
ALTU,2.70805020110221,2.519842099789747,2.6390573296152584,2.562174259605524,4.61512051684126,True,-1.1160190299209167,-0.0017460164572123166,0.3539883911014525,0.36263874750774633,1.355835153635182,5.572154032177765,9.059633754551479,8.944158830970403,2.384897054319773,6.159095388491933,4.143134726391533,3.9318256327243257,4.532599493153256,2.70805020110221,0,1,0,1.0987048081975697,0.0,1.0,1,0,0,0,0,-4.916499028159947,-5.127808121827154,-4.5270342613982235,0.7937792753202437,0.4894678251818011,0.05499360539472154,18.469470908121796
ALXA,2.0794415416798357,2.2894284851066633,2.302585092994046,4.398552954172393,4.330733340286331,True,-2.677731800328678,-0.003957877372461608,0.3534302444137146,0.3646778597044102,0.8020015854720274,5.556828061699537,8.965717788984849,8.858368636308018,2.3201751253056924,6.115892125483034,3.58351893845611,4.442651256490317,4.77912349311153,2.3978952727983707,1,1,0,1.4152519676751056,0.0,1.0,1,0,0,0,0,-5.382198850528739,-4.523066532494532,-4.186594295873319,0.8067848061211341,0.3627852894262161,0.057854406130268196,17.599700191882537
AMBA,1.791759469228055,2.2239800905693157,2.1972245773362196,1.8231575769334178,6.1903154058531475,True,0.724315644344174,-0.037115500330326075,0.3524440857248583,0.36393587186373255,4.5511257422361835,6.212606095751519,9.51296031679217,9.439863530254431,2.637980920550051,6.655440350367647,4.51085950651685,4.477336814478207,5.4680601411351315,2.302585092994046,1,1,1,1.462848760946672,0.0,1.0,1,0,0,0,0,-5.002100810275321,-5.035623502313964,-4.044900175657039,0.8639904417095201,0.45609856988526154,0.057410964977094726,17.399029496420383
AMIS,2.995732273553991,2.7144176165949063,2.8903717578961645,2.7189341439824974,3.6888794541139363,True,-0.7428958841446565,0.025763708515827013,0.34537831355179577,0.3513851227465152,5.844477315079961,6.267200548541362,9.616205400105674,9.346914101693393,2.6340524052903356,6.695798917058491,3.828641396489095,5.198497031265826,5.117993812416755,2.9444389791664403,0,1,0,0.8735899874969951,1.739464085489495,1.0,1,0,0,0,0,-5.787564003616579,-4.417708368839849,-4.498211587688919,0.0,0.4016721336266649,0.05391176862588298,20.21244021318042
AMRC,2.302585092994046,2.519842099789747,2.6390573296152584,2.1665746234664796,4.727387818712341,True,0.7937005259840998,0.035642375510738435,0.3492809638783443,0.36084902589815077,6.060328076897323,6.46302945692067,9.824660771990157,9.71087320625674,2.753685989156313,6.8001700683022,4.8283137373023015,5.099866427824199,5.214935757608986,2.70805020110221,1,1,1,1.5359534291870218,0.0,3.0,0,0,1,0,0,-4.996347034687856,-4.724794344165959,-4.609725014381171,0.7964625798476241,0.462654637230731,0.04858255788790305,18.28105309255977
ANAC,1.6094379124341003,2.620741394208897,2.772588722239781,1.7201748687122045,4.31748811353631,True,-0.9761000076685076,-0.015947285678912314,0.3522490529900798,0.3582700382694312,2.9254707405133247,5.998936561946683,9.400878083541478,9.309099143999447,2.5592795119172456,6.439350371100098,4.634728988229636,4.624972813284271,5.087596335232384,2.833213344056216,1,1,0,0.796539272642633,0.0,1.0,1,0,0,0,0,-4.766149095311842,-4.775905270257207,-4.313281748309094,0.832303701367867,0.48618611037565657,0.051739813207703114,17.909855120186375
ANFI,2.302585092994046,2.46621207433047,2.5649493574615367,2.123840191919127,3.7376696182833684,True,0.6036810736797684,-0.037115500330326075,0.3501550567738341,0.3605702900225225,5.5492939599914015,6.359573868672378,9.738200088297953,9.62747051161485,2.6889452937026608,6.785587645007929,4.394449154672439,4.465908118654584,5.1298987149230735,2.6390573296152584,1,0,1,1.3769574071126771,0.0,1.0,1,0,0,0,0,-5.343750933625515,-5.272291969643369,-4.608301373374879,0.8013486538744462,0.4276888447216868,0.05220314988497611,18.31532022829454
ANGI,2.5649493574615367,2.3513346877207577,2.3978952727983707,2.5334179838207707,4.430816798843313,True,-0.7883735163105242,-0.03446512812118845,0.34709152340113625,0.3607590720561106,4.078198242479396,6.236369590203704,9.69763121260851,9.538420349034803,2.6521405799839615,6.654152520183219,4.2626798770413155,4.59511985013459,4.700480365792417,2.4849066497880004,0,1,0,1.8440899120035956,2.027400665191134,2.0,0,1,0,0,0,-5.434951335567194,-5.10251136247392,-4.997150846816094,0.727296003260547,0.463784988568518,0.04766877572332453,18.55446226529209
ANGO,2.3978952727983707,2.4101422641752306,2.4849066497880004,2.320794416806389,4.418840607796598,False,0.5065797019100885,0.02071500183158597,0.3588508019325538,0.3741116225862903,3.6489424845102354,5.796057750765372,8.875426919818963,8.74766979009724,2.3650464499470165,5.950642552587727,3.8501476017100584,3.8501476017100584,4.543294782270004,2.5649493574615367,1,1,1,1.7436101253304723,0.0,1.0,1,0,0,0,0,-5.025279318108905,-5.025279318108905,-4.332132137548959,0.774518092284842,0.282933454051607,0.05367626502655857,16.8812352033383
AONE,2.6026896854443837,2.1179117921274466,2.0794415416798357,2.7274743958616297,6.021023349349527,True,-2.083160874613118,0.08509670457922383,0.3433503915043928,0.35183522263647826,4.227198642188849,6.284134161070802,9.501067802613925,9.420114955551439,2.593058197109723,6.617402977974478,4.189654742026425,5.003946305945459,5.267858159063328,2.169053700369523,0,1,0,1.2481775401314017,3.786417676010863,1.0,1,0,0,0,0,-5.3114130605874985,-4.4971214966684645,-4.2332096435505955,0.8505214099240475,0.3216752060592559,0.05592941528338567,19.756830528287516
AOSL,2.8903717578961645,2.7144176165949063,2.772588722239781,2.6061001127817303,3.367295829986474,True,-0.2714417616594906,0.016442651117707995,0.35361478997541335,0.3653513864185611,5.220766551529477,5.961005339623274,9.408371222475317,9.313348122050412,2.5485417964224686,6.517671272912275,4.02535169073515,4.7535901911063645,5.075173815233827,2.8903717578961645,0,0,0,1.4685224408053705,0.0,1.0,1,0,0,0,0,-5.383019531740168,-4.654781031368953,-4.3331974072414905,0.8269209286111816,0.4986980550536721,0.05553732567678425,18.332371033583506
APEI,2.995732273553991,2.6684016487219453,2.8903717578961645,3.299479506796629,4.543294782270004,True,0.5313292845913055,-0.012382727363617861,0.3555548436327091,0.3660598908620879,3.6900038217756457,5.991464547107982,9.2237500588861,9.117566971823829,2.480614741080058,6.300785794663244,3.8501476017100584,4.23410650459726,4.584967478670572,2.917770732084279,0,1,1,1.291178786378772,2.008968729832627,2.0,0,1,0,0,0,-5.373602457176042,-4.989643554288841,-4.638782580215528,0.8086685298543662,0.33930625000000003,0.053774050320670945,18.356142222814793
APKT,2.2512917986064953,1.9574338205844317,1.8718021769015913,2.5151085012041587,4.890349128221754,True,0.0,0.05647474671864434,0.346957798146993,0.3586234678706746,3.5868467285487844,6.304448802421981,9.597505722912913,9.504352368122833,2.648316273313982,6.734591659972948,4.0943445622221,5.003946305945459,5.170483995038151,1.9459101490553132,0,1,0,1.5977766785718404,3.2931687800417477,1.0,1,0,0,0,0,-5.503161160690813,-4.593559416967454,-4.427021727874762,0.8300189811644416,0.39779886300211564,0.05710211841390549,18.506931978773792
ARAY,2.8903717578961645,2.620741394208897,2.833213344056216,3.0534851967987517,4.465908118654584,True,-0.8617738760127533,0.016234824406075828,0.34751683581605175,0.35603843514505,3.9683466264810896,6.154858094016418,9.453600226875217,9.346530726426447,2.5987138004585693,6.398594934535208,4.174387269895637,4.442651256490317,4.634728988229636,2.8622008809294686,0,1,0,1.1827321350428368,1.4189834119703841,1.0,1,0,0,0,0,-5.279212956979579,-5.0109489703849,-4.818871238645581,0.8072361706716663,0.4276215848287737,0.047122471381527364,19.47847103810022
ARBX,2.8622008809294686,2.519842099789747,2.6390573296152584,4.876998961073313,5.075173815233827,True,1.1186889420813968,0.036866889518440776,0.35294818483340107,0.3632139133890244,6.253763424822421,5.7745515455444085,8.953898535260459,8.834336974017637,2.3891980816551945,5.834810737062605,3.5553480614894135,4.0943445622221,4.8283137373023015,2.70805020110221,0,1,1,1.3083385472715325,2.5543647746451774,2.0,0,1,0,0,0,-5.398550473771045,-4.8595539730383575,-4.125584797958157,0.7873179398631627,0.3336676825739747,0.04419746704574826,18.55494575803585
ARCL,2.803360380906535,2.5712815906582356,2.70805020110221,2.6575906943021392,4.356708826689592,True,0.34199518933533934,0.05699491838087051,0.3526734689038465,0.36359022152407217,3.467858648180705,6.282266746896006,9.746482803725963,9.61012269694885,2.650868874225654,6.831953565565855,4.356708826689592,4.430816798843313,5.056245805348308,2.772588722239781,0,1,1,1.3905540358100832,1.462008869106433,2.0,0,1,0,0,0,-5.389773977036372,-5.31566600488265,-4.690236998377655,0.7613057608670105,0.42067953533059654,0.05422955422955423,18.45145240261912
ARCO,2.833213344056216,2.46621207433047,2.5649493574615367,2.767655007288918,2.995732273553991,True,0.7989569740454013,0.004669618127058825,0.3386565253872108,0.34523153671577606,8.012388737304347,6.349138991379798,9.761520681090504,9.631285050932734,2.7473336736347798,6.821107472256465,4.430816798843313,4.969813299576001,4.8283137373023015,2.6390573296152584,0,1,1,1.0477941936938089,2.777566121439121,4.0,0,0,0,1,0,-5.330703882247191,-4.791707381514503,-4.9332069437882025,0.7706883053964853,0.5651254340065529,0.052843888664784185,20.945793829243037
AREX,2.4849066497880004,2.519842099789747,2.6390573296152584,2.3263510182449534,4.77912349311153,True,1.0259855680060184,-0.019999416118981355,0.35449237604574035,0.36188347415982347,3.8431444131253656,5.786897381366708,8.976135873302548,8.85180655855245,2.4080884530367643,5.8998973535824915,3.4011973816621555,4.219507705176107,4.543294782270004,2.70805020110221,1,1,1,0.9401541641341384,0.0,5.0,0,0,0,0,1,-5.574938491640393,-4.756628168126442,-4.432841091032544,0.7798461444187377,0.3577947984493206,0.0461324570273003,18.337299178491573
ARII,3.044522437723423,2.620741394208897,2.772588722239781,2.8420110699458077,3.6375861597263857,True,0.44814047465571644,0.02925670137266296,0.35437775191692794,0.36103580229405585,6.410438005240938,6.48768401848461,9.838202085837498,9.752780935111424,2.7557872410937065,6.827629234502852,4.709530201312334,5.5909869805108565,5.568344503761097,2.833213344056216,0,1,1,0.8522990980292089,2.8655216231663623,1.0,1,0,0,0,0,-5.128671884525165,-4.247215105326642,-4.269857582076401,0.8429544956904002,0.4444444444444444,0.049263450042698546,19.000099159183968
ARP,2.5649493574615367,2.519842099789747,2.6390573296152584,2.395709928531392,4.718498871295094,True,-0.21843318437028425,-0.006417682468154485,0.34886311776784923,0.357435224452496,4.592588484196865,6.2285110035911835,9.430920640887228,9.327945614050446,2.5712815906582356,6.55250788703459,4.3694478524670215,4.941642422609304,4.955827057601261,2.70805020110221,1,1,0,1.1675571456856975,0.0,2.0,0,1,0,0,0,-5.061472788420207,-4.489278218277923,-4.475093583285967,0.8138737252705391,0.3249224855961315,0.05622393326916907,18.97197630027207
ARST,2.1972245773362196,2.2239800905693157,2.1972245773362196,2.0629949628246944,5.049856007249537,True,-0.21544346900318834,-0.0008063218195906665,0.351163963385283,0.3628051584393955,4.2461066774130005,6.304448802421981,9.761981590241948,9.584383610076006,2.6671682753399955,6.756932389247553,4.02535169073515,5.049856007249537,5.267858159063328,2.302585092994046,1,0,0,1.5060955098088444,0.0,2.0,0,1,0,0,0,-5.7366298995067995,-4.712125582992411,-4.49412343117862,0.701036054489743,0.4331420512083527,0.04953631703242901,17.938722275528345
ARTE,1.791759469228055,2.4101422641752306,2.4849066497880004,1.9721129638901198,5.402677381872279,True,-1.1239908646142267,-0.004839837912175111,0.35621531569091747,0.3662244474451809,4.592588484196865,5.634789603169249,9.023528749909364,8.900685318713995,2.3717559588502897,6.2422232654551655,3.6109179126442243,4.343805421853684,4.663439094112067,2.5649493574615367,1,1,0,1.223413665425352,0.0,1.0,1,0,0,0,0,-5.412610837265139,-4.67972332805568,-4.360089655797296,0.7821671125213763,0.4041326530612244,0.061957569913211184,17.133326330687378
ARUN,2.3978952727983707,2.1544346900318834,2.0794415416798357,2.418719333461711,4.624972813284271,True,-0.5428835233189812,0.0283099533258931,0.345084975695967,0.36153269287261736,4.283627940314874,6.008813185442595,9.4244028145542,9.335209354022052,2.557759296802023,6.418364935936212,3.912023005428146,4.418840607796598,4.574710978503383,2.1972245773362196,0,1,0,2.2399245140853026,2.811442217672497,1.0,1,0,0,0,0,-5.512379809126054,-5.005562206757602,-4.849691836050817,0.8366186554758888,0.47328990817934313,0.049487365786711875,18.29284737244248
ASPV,2.3978952727983707,2.46621207433047,2.5649493574615367,2.454648954358737,3.6635616461296463,True,-1.0,0.0027190288727909386,0.35071592332901314,0.3624040629876783,4.592588484196865,5.407171771460119,8.532869670801245,8.45531778769815,2.168563897016068,5.676753802268282,3.367295829986474,4.0943445622221,4.330733340286331,2.6390573296152584,1,1,0,1.5208610076147107,0.0,1.0,1,0,0,0,0,-5.165573840814771,-4.438525108579144,-4.2021363305149135,0.8563263151402564,0.21749884373303305,0.05749163221106517,18.187486856784655
ATEC,2.1972245773362196,2.2894284851066633,2.3978952727983707,2.0785418421549138,4.7535901911063645,True,-2.0892878536446378,-0.02246402239096419,0.35033654480586474,0.3603045304410313,4.304132658489152,7.234177179749849,10.588325305224933,10.479173520649045,3.074747460521402,7.7266536648476425,5.733341276897746,6.633318433280377,6.55250788703459,2.4423470353692043,1,0,0,1.3184593156374254,0.0,1.0,1,0,0,0,0,-4.854984028327187,-3.9550068719445557,-4.035817418190343,0.8038813710363438,0.37169520394628625,0.057173107464266806,18.242749535459705
ATHN,2.8903717578961645,2.519842099789747,2.6390573296152584,3.286569225721215,4.499809670330265,True,-0.6619105948026228,0.03469512390660059,0.3510133524435193,0.36354061507716534,4.328269781900987,6.115892125483034,9.366317953430535,9.253878673990666,2.5592795119172456,6.4457198193855785,3.6888794541139363,4.31748811353631,4.90527477843843,2.70805020110221,0,1,0,1.6147145276747044,2.7144176165949063,2.0,0,1,0,0,0,-5.677438499316599,-5.048829839894225,-4.461043174992106,0.7986131973520055,0.3847833184704374,0.053901437371663245,18.544337535281166
ATRC,2.4849066497880004,2.4101422641752306,2.4849066497880004,2.4147242903575985,4.672828834461906,True,-0.9244335465376482,0.015487112031121256,0.35833494973513963,0.3674560133789501,2.952668184082964,5.5134287461649825,8.799360083179907,8.688790784847216,2.3126783696051127,6.016157159698354,3.9318256327243257,3.9889840465642745,5.081404364984463,2.5649493574615367,1,1,0,1.0903726021615667,0.0,1.0,1,0,0,0,0,-4.867534450455582,-4.810376036615634,-3.7179557181954452,0.8016055727314711,0.3806093912591051,0.06184012066365008,17.686711568872166
AUXL,2.0149030205422647,2.080083823051904,2.0794415416798357,1.9309787521601034,4.532599493153256,True,-3.8947551675992416,-0.05993323169635589,0.35413680583852325,0.3646778597044102,2.1772486016827477,5.676753802268282,8.754634047431272,8.661639795781266,2.307612190472001,5.910796644040527,3.5263605246161616,3.6888794541139363,4.634728988229636,2.1400661634962708,1,0,0,1.3199178853112832,0.0,1.0,1,0,0,0,0,-5.22827352281511,-5.065754593317335,-4.119905059201636,0.8302831404432326,0.26741649465190465,0.0582018927444795,17.535161670744966
